player_height,player_weight
205.74,102.0582
195.58,94.800728
205.74,102.0582
210.82,108.86208
205.74,109.31567199999999
203.2,120.20188
205.74,106.59412
187.96,89.811216
198.12,90.7184
182.88,74.84268
208.28,118.38751200000002
213.36,111.13004
210.82,106.59412
208.28,104.32616
210.82,124.7378
200.66,97.52228
187.96,82.553744
203.2,113.398
205.74,115.66596
193.04,94.347136
205.74,115.66596
205.74,101.604608
205.74,104.32616
210.82,102.0582
203.2,104.32616
205.74,99.79024
205.74,117.93392
220.98,132.448864
203.2,104.32616
180.34,81.64656
187.96,79.3786
205.74,108.86208
205.74,108.86208
213.36,113.398
213.36,111.13004
205.74,102.0582
187.96,82.553744
210.82,117.93392
193.04,103.418976
203.2,95.25431999999999
195.58,90.7184
182.88,74.84268
195.58,99.79024
210.82,104.32616
198.12,88.45044
185.42,83.91452
208.28,113.398
210.82,104.32616
203.2,99.79024
205.74,115.212368
198.12,90.7184
193.04,87.543256
200.66,90.7184
213.36,124.7378
195.58,94.347136
200.66,102.0582
203.2,102.0582
193.04,92.98636
200.66,97.52228
205.74,102.0582
193.04,79.3786
210.82,99.79024
200.66,102.0582
198.12,114.305184
205.74,97.52228
205.74,111.13004
208.28,110.676448
187.96,86.18248
210.82,108.86208
198.12,99.79024
190.5,88.45044
210.82,108.86208
208.28,104.32616
200.66,99.79024
200.66,97.975872
203.2,99.79024
200.66,97.52228
195.58,90.7184
208.28,111.13004
182.88,77.11064
210.82,111.13004
203.2,97.52228
200.66,108.86208
208.28,102.0582
210.82,104.32616
200.66,100.697424
208.28,109.76926399999999
200.66,111.13004
185.42,86.18248
198.12,81.64656
195.58,96.615096
210.82,104.32616
200.66,97.52228
177.8,77.56423199999998
198.12,99.79024
210.82,117.93392
180.34,73.935496
208.28,106.59412
208.28,106.140528
185.42,81.64656
180.34,77.11064
200.66,92.98636
200.66,99.79024
215.9,106.59412
205.74,108.86208
185.42,89.811216
195.58,83.91452
205.74,104.32616
210.82,113.398
187.96,87.089664
195.58,92.98636
190.5,92.98636
198.12,99.79024
203.2,106.59412
185.42,90.7184
193.04,93.439952
205.74,108.86208
210.82,102.0582
208.28,117.93392
205.74,92.98636
208.28,106.59412
200.66,108.86208
193.04,83.91452
205.74,112.490816
218.44,113.398
210.82,102.0582
203.2,104.32616
208.28,106.59412
203.2,113.398
203.2,98.883056
177.8,72.57472
195.58,88.904032
200.66,104.32616
203.2,116.119552
205.74,104.32616
198.12,92.98636
190.5,86.18248
198.12,99.79024
213.36,108.86208
200.66,97.52228
215.9,117.93392
205.74,95.25431999999999
203.2,100.697424
205.74,108.86208
200.66,97.52228
198.12,86.18248
213.36,113.398
193.04,86.18248
182.88,72.57472
182.88,77.11064
213.36,122.46984
195.58,87.996848
190.5,80.28578399999998
210.82,120.20188
210.82,106.59412
213.36,122.46984
185.42,86.18248
200.66,97.52228
190.5,90.7184
203.2,99.79024
210.82,120.20188
190.5,95.25431999999999
210.82,111.13004
200.66,106.59412
213.36,127.00576
205.74,108.86208
185.42,83.91452
193.04,92.079176
208.28,98.883056
190.5,83.91452
193.04,86.18248
203.2,113.398
190.5,86.18248
203.2,103.418976
203.2,102.0582
213.36,119.748288
198.12,102.0582
231.14,137.438376
203.2,99.79024
200.66,106.59412
203.2,102.0582
205.74,112.490816
208.28,113.398
185.42,81.64656
215.9,120.20188
210.82,113.398
193.04,82.553744
198.12,95.25431999999999
218.44,127.00576
213.36,115.66596
205.74,102.0582
187.96,81.64656
203.2,99.79024
210.82,117.93392
190.5,86.18248
208.28,111.13004
210.82,129.27372
210.82,111.13004
187.96,80.28578399999998
195.58,83.007336
208.28,122.46984
195.58,97.52228
208.28,111.13004
208.28,109.76926399999999
203.2,95.25431999999999
203.2,113.398
187.96,81.64656
198.12,81.64656
203.2,115.66596
200.66,86.18248
198.12,95.25431999999999
203.2,116.119552
193.04,94.347136
200.66,102.0582
205.74,108.86208
195.58,95.25431999999999
193.04,86.18248
193.04,86.18248
210.82,102.511792
193.04,83.46092800000002
200.66,108.86208
205.74,93.439952
198.12,98.883056
198.12,97.52228
215.9,117.93392
208.28,120.20188
195.58,95.25431999999999
195.58,92.98636
203.2,106.59412
190.5,88.45044
213.36,122.923432
