Year,Name,Age,Salary%,PER,USG%,Predicted Salary%,Resid %
2012,Tyrus Thomas,25.0,13.782647646612912,9.0,19.0,3.284960841218716,116.64096450437995
2011,Mehmet Okur,31.0,18.76162910895183,12.6,21.2,4.051614790828635,116.7461453819301
2016,Iman Shumpert,25.0,13.804174285714286,8.4,13.2,3.917440914956423,117.69920679473647
2012,Kobe Bryant,33.0,52.46675797670733,21.9,35.7,26.577883563872994,118.21403841476865
2016,Timofey Mozgov,29.0,22.857142857142854,14.6,16.1,5.51555644112029,118.77798915083947
2014,Gerald Wallace,31.0,17.22226861398456,10.0,11.6,4.339658661411583,128.82609952572977
2013,Kendrick Perkins,28.0,15.035898628626562,8.2,10.6,4.2582043460459165,131.43529612903225
2011,Avery Bradley,20.0,2.6264213355385566,2.2,26.1,-0.47573893609328377,141.00728507417455
2016,Wesley Matthews,29.0,24.494054285714288,10.9,17.2,9.091703889922536,141.30596693386929
2010,Nick Collison,29.0,22.99826689774697,13.1,12.1,3.795290270870775,146.5876078387496
2013,Joe Johnson,31.0,36.983526290400384,14.1,21.7,15.639439118244681,151.37650476706173
2014,Joe Johnson,32.0,39.504405323880775,15.5,22.3,14.925493882175829,158.57362220454806
2010,Rashard Lewis,30.0,33.92324263431543,14.0,19.4,11.122825118428217,162.86012511348008
2016,Allen Crabbe,23.0,26.42857142857143,12.2,16.4,6.2182932901461365,165.65801752807621
2013,Richard Jefferson,32.0,19.03039073806078,10.3,14.4,1.8237234542048992,167.05502217335805
2014,Sergey Karasev,20.0,2.6139504763203187,2.3,14.4,-1.2567974349995266,168.29338744868895
2015,Paul George,24.0,27.146762863712038,13.0,32.8,4.947363135637712,170.76461329287943
2010,Michael Redd,30.0,31.7157712305026,12.1,23.7,10.763915924788872,173.15582897284074
2011,Luke Walton,30.0,10.287649024877679,5.1,14.3,0.8903896764141159,184.25998722477576
2014,Derrick Rose,25.0,32.14587160653726,9.7,31.5,12.58187550142368,201.6906814960163
2010,DeShawn Stevenson,28.0,7.195469670710572,3.266666666666667,11.0,0.006951582651466115,220.05667616507463
2011,Rashard Lewis,31.0,36.41484218868445,11.933333333333332,17.666666666666668,9.491311169415,225.6161817257217
2011,Luke Babbitt,21.0,3.2600785610915866,1.0,22.8,0.7511148809978094,250.89636800937774
2015,Brandon Rush,29.0,2.0153238721953537,0.8,11.2,-0.027032683659582335,255.294569481867
2014,Kobe Bryant,35.0,40.048398916136954,10.7,28.7,8.19496711288321,297.69562432947424
