Date,Team,Notes,Player,Injury Class
2012-02-04,Hornets,sore left knee (DNP),Jarrett Jack,DNP
2012-02-04,Nets,fractured right little toe (DNP),MarShon Brooks,DNP
2012-02-04,Nets,sore lower back (DNP),Mehmet Okur,DNP
2012-02-04,Pacers,sprained left ankle (DNP),George Hill,DNP
2012-02-04,Pacers,sore lower back (DNP),Jeff Foster,DNP
2012-02-04,Pistons,sore left shoulder (DNP),Ben Gordon,DNP
2012-02-04,Pistons,strained right foot (DNP),Will Bynum,DNP
2012-02-04,Suns,bruised thigh (DNP),Jared Dudley,DNP
2012-02-04,Thunder,sore right foot (DNP),Thabo Sefolosha,DNP
2012-02-05,Celtics,sore left knee (DNP),Brandon Bass,DNP
2012-02-05,Grizzlies,hip injury (DTD),Tony Allen,DTD
2012-02-06,Bulls,right thigh injury (DNP) (Fox),Richard Hamilton,DNP
2012-02-06,Grizzlies,sore left hip/knee (DNP),Tony Allen,DNP
2012-02-06,Hawks,sprained left elbow (DNP),Jason Collins,DNP
2012-02-06,Hornets,right knee injury (DNP),DaJuan Summers,DNP
2012-02-06,Hornets,sore left knee (DNP),Jarrett Jack,DNP
2012-02-06,Hornets,concussion (DNP),Jason Smith,DNP
2012-02-06,Nets,fractured right little toe (DNP),MarShon Brooks,DNP
2012-02-06,Nets,sore lower back (DNP),Mehmet Okur,DNP
2012-02-06,Nuggets,sprained left ankle (DNP),Arron Afflalo,DNP
2012-02-06,Nuggets,strained left heel (DNP),Nene,DNP
2012-02-06,Nuggets,sprained left ankle (DNP) (Fox),Timofey Mozgov,DNP
2012-02-06,Thunder,sore right foot (DNP),Thabo Sefolosha,DNP
2012-02-06,Wizards,sore left (P) / right (CBC) knee (DNP),Rashard Lewis,DNP
2012-02-07,Clippers,torn left Achilles tendon (out for season),Chauncey Billups,out for season
2012-02-07,Knicks,strained right groin (out indefinitely),Carmelo Anthony,out indefinitely
2012-02-07,Nuggets,chip fracture in left ankle (out indefinitely),Danilo Gallinari,out indefinitely
2012-02-07,Pacers,sprained left ankle (DNP),George Hill,DNP
2012-02-07,Pacers,sore lower back (DNP),Jeff Foster,DNP
2012-02-07,Warriors,strained left groin (DNP),Nate Robinson,DNP
2012-02-08,76ers,strained left Achilles tendon (DNP),Spencer Hawes,DNP
2012-02-08,Bucks,back spasms (DNP),Ersan Ilyasova,DNP
2012-02-08,Bulls,right thigh injury (DNP) (Fox),Richard Hamilton,DNP
2012-02-08,Cavaliers,concussion (DNP),Kyrie Irving,DNP
2012-02-08,Hawks,sprained left elbow (DNP),Jason Collins,DNP
2012-02-08,Hornets,concussion (DNP),Jason Smith,DNP
2012-02-08,Knicks,strained right groin (DNP),Carmelo Anthony,DNP
2012-02-08,Nets,sore right knee (DNP) (P Fox),DeShawn Stevenson,DNP
2012-02-08,Nets,fractured right little toe (DNP),MarShon Brooks,DNP
2012-02-08,Nets,sore lower back (DNP),Mehmet Okur,DNP
2012-02-08,Nuggets,sprained left ankle (DNP),Danilo Gallinari,DNP
2012-02-08,Nuggets,sprained left ankle (DNP) (Fox),Timofey Mozgov,DNP
2012-02-08,Pacers,chip fracture in left ankle (DNP),George Hill,DNP
2012-02-08,Pacers,sore lower back (DNP),Jeff Foster,DNP
2012-02-08,Wizards,strained left calf (DNP) (F),Andray Blatche,DNP
2012-02-08,Wizards,sore left (P) / right (CBC) knee (DNP),Rashard Lewis,DNP
2012-02-09,Nets,fractured left ankle / torn ligament in left ankle (out for season),Keith Bogans,out for season
2012-02-09,Nuggets,sprained left ankle (DNP),Danilo Gallinari,DNP
2012-02-09,Nuggets,sprained left ankle (DNP) (Fox),Timofey Mozgov,DNP
2012-02-10,Bucks,illness (DNP),Larry Sanders,DNP
2012-02-10,Bulls,strained lower back (DNP),Derrick Rose,DNP
2012-02-10,Bulls,right thigh injury (DNP) (Fox),Richard Hamilton,DNP
2012-02-10,Celtics,sore left shoulder (DNP),Jermaine O'Neal,DNP
2012-02-10,Hornets,sprained left ankle (DTD),Chris Kaman,DTD
2012-02-10,Hornets,sore left knee (CBC Fox) / ankle (DNP),Jarrett Jack,DNP
2012-02-10,Hornets,concussion (DNP),Jason Smith,DNP
2012-02-10,Knicks,strained right groin (DNP),Carmelo Anthony,DNP
2012-02-10,Nets,sore right knee (DNP) (P Fox),DeShawn Stevenson,DNP
2012-02-10,Nets,fractured left ankle / torn ligament in left ankle (DNP),Keith Bogans,DNP
2012-02-10,Nets,sore lower back (DNP),Mehmet Okur,DNP
2012-02-10,Wizards,strained left calf (DNP) (F),Andray Blatche,DNP
2012-02-10,Wizards,sore left (P) / right (CBC) knee (DNP),Rashard Lewis,DNP
2012-02-11,76ers,strained left Achilles tendon (DNP),Spencer Hawes,DNP
2012-02-11,Bucks,illness (DNP),Larry Sanders,DNP
2012-02-11,Knicks,strained right groin (DNP),Carmelo Anthony,DNP
2012-02-11,Nets,sore right knee (DNP) (P Fox),DeShawn Stevenson,DNP
2012-02-11,Nets,sore lower back (DNP),Mehmet Okur,DNP
2012-02-11,Nuggets,sprained left ankle (DNP),Danilo Gallinari,DNP
2012-02-11,Pacers,chip fracture in left ankle / sprained left ankle (DNP) (Fox P),George Hill,DNP
2012-02-11,Pacers,sore lower back (DNP),Jeff Foster,DNP
2012-02-12,Bulls,strained lower back (DNP),Derrick Rose,DNP
2012-02-12,Bulls,right thigh injury (DNP) (Fox),Richard Hamilton,DNP
2012-02-12,Rockets,lower back injury (DNP),Hasheem Thabeet,DNP
2012-02-12,Warriors,strained/sore left knee (DNP),Dominic McGuire,DNP
2012-02-12,Wizards,strained left calf (DNP) (F),Andray Blatche,DNP
2012-02-13,76ers,strained left Achilles tendon (DNP),Spencer Hawes,DNP
2012-02-13,Hornets,sore left knee (DNP),Emeka Okafor,DNP
2012-02-13,Hornets,bruised left knee (DNP),Jarrett Jack,DNP
2012-02-13,Hornets,concussion (DNP),Jason Smith,DNP
2012-02-14,Bulls,strained lower back (DNP),Derrick Rose,DNP
2012-02-14,Clippers,surgery to repair torn left Achilles tendon (out for season),Chauncey Billups,out for season
2012-02-14,Kings,stomach virus (DNP),Jimmer Fredette,DNP
2012-02-14,Knicks,strained right groin (DNP),Carmelo Anthony,DNP
2012-02-14,Nuggets,sprained left ankle (DNP) (P),Danilo Gallinari,DNP
2012-02-14,Nuggets,strained left calf (DNP),Nene,DNP
2012-02-14,Pacers,sprained left ankle (DNP),George Hill,DNP
2012-02-14,Suns,rest (DNP),Grant Hill,DNP
2012-02-14,Suns,rest (DNP),Steve Nash,DNP
2012-02-14,Wizards,strained left calf (DNP) (F),Andray Blatche,DNP
2012-02-15,76ers,strained left Achilles tendon (DNP),Spencer Hawes,DNP
2012-02-15,Celtics,sore left hip (DNP),Kevin Garnett,DNP
2012-02-15,Grizzlies,sprained right ankle (DNP),Sam Young,DNP
2012-02-15,Hawks,rest (DNP),Tracy McGrady,DNP
2012-02-15,Hornets,sore left knee (DNP),Emeka Okafor,DNP
2012-02-15,Hornets,bruised left knee (DNP),Jarrett Jack,DNP
2012-02-15,Hornets,concussion (DNP),Jason Smith,DNP
2012-02-15,Knicks,strained right groin (DNP),Carmelo Anthony,DNP
2012-02-15,Nets,strained right groin (DNP),Jordan Farmar,DNP
2012-02-15,Nets,sore lower back (DNP),Mehmet Okur,DNP
2012-02-15,Nuggets,sprained left ankle (DNP) (F P),Danilo Gallinari,DNP
2012-02-15,Nuggets,strained left calf (DNP),Nene,DNP
2012-02-15,Pacers,sprained left ankle (DNP),Danny Granger,DNP
2012-02-15,Pacers,sprained left ankle (DNP),George Hill,DNP
2012-02-15,Pacers,sore lower back (DNP),Jeff Foster,DNP
2012-02-15,Raptors,sore left knee (DNP),Linas Kleiza,DNP
2012-02-15,Rockets,sore back (DNP),Hasheem Thabeet,DNP
2012-02-16,Bulls,strained lower back (DNP),Derrick Rose,DNP
2012-02-16,Nets,sore lower back (DNP),Mehmet Okur,DNP
2012-02-16,Pacers,sprained left ankle (DNP),George Hill,DNP
2012-02-17,76ers,strained left Achilles tendon (DNP),Spencer Hawes,DNP
2012-02-17,Bucks,sprained right wrist (DNP),Drew Gooden,DNP
2012-02-17,Cavaliers,sprained left ankle (DNP) (P),Daniel Gibson,DNP
2012-02-17,Hornets,sore left knee (DNP),Emeka Okafor,DNP
2012-02-17,Hornets,concussion (DNP),Jason Smith,DNP
2012-02-17,Knicks,strained right groin (DNP),Carmelo Anthony,DNP
2012-02-17,Mavericks,surgery on broken right ring finger to insert pins (out indefinitely),Delonte West,out indefinitely
2012-02-17,Nuggets,sprained left ankle (DNP) (P),Danilo Gallinari,DNP
2012-02-17,Thunder,bruised right knee (DNP),Kendrick Perkins,DNP
2012-02-18,Bulls,strained lower back (DNP),Derrick Rose,DNP
2012-02-18,Grizzlies,sprained right ankle (DNP),Sam Young,DNP
2012-02-18,Nets,sore lower back (DNP),Mehmet Okur,DNP
2012-02-19,Bucks,sprained right wrist (DNP),Drew Gooden,DNP
2012-02-19,Bucks,bruised right shoulder (DNP),Tobias Harris,DNP
2012-02-19,Cavaliers,sprained left ankle (DNP) (P),Daniel Gibson,DNP
2012-02-19,Knicks,sore left elbow (DNP),Bill Walker,DNP
2012-02-19,Knicks,strained right groin (DNP),Carmelo Anthony,DNP
2012-02-19,Magic,chest pain (DNP),Jason Richardson,DNP
2012-02-19,Nets,strained right groin (DNP),Jordan Farmar,DNP
2012-02-19,Nets,sore lower back (DNP),Mehmet Okur,DNP
2012-02-19,Nuggets,sprained left ankle (DNP) (P),Danilo Gallinari,DNP
2012-02-19,Nuggets,strained lower back (DNP),Rudy Fernandez,DNP
2012-02-19,Pacers,sprained left ankle (DNP),George Hill,DNP
2012-02-19,Rockets,sore lower back (DNP),Hasheem Thabeet,DNP
2012-02-19,Thunder,fractured orbital floor (DNP),Lazar Hayward,DNP
2012-02-20,Blazers,microfracture surgery on left knee (out indefinitely),Greg Oden,out indefinitely
2012-02-20,Bucks,sprained right wrist (DNP),Drew Gooden,DNP
2012-02-20,Bucks,bruised right shoulder (DNP),Tobias Harris,DNP
2012-02-20,Hornets,sore left knee (DNP),Emeka Okafor,DNP
2012-02-20,Hornets,concussion (DNP),Jason Smith,DNP
2012-02-20,Knicks,sore left elbow (DNP),Bill Walker,DNP
2012-02-20,Nets,strained right groin (DNP),Jordan Farmar,DNP
2012-02-20,Nets,sore lower back (DNP),Mehmet Okur,DNP
2012-02-20,Nuggets,sprained left ankle (DNP) (F P),Danilo Gallinari,DNP
2012-02-20,Nuggets,strained lower back (DNP),Rudy Fernandez,DNP
2012-02-20,Thunder,sprained left ankle (DNP),James Harden,DNP
2012-02-20,Thunder,fractured orbital floor (DNP),Lazar Hayward,DNP
2012-02-20,Thunder,bruised left quadriceps (DNP),Nick Collison,DNP
2012-02-20,Warriors,flu-like symptoms (DNP),Andris Biedrins,DNP
2012-02-20,Wizards,strained left calf (DNP) (F),Andray Blatche,DNP
2012-02-21,76ers,sprained right thumb (DNP),Elton Brand,DNP
2012-02-21,Hornets,sore left knee (DNP),Emeka Okafor,DNP
2012-02-21,Hornets,concussion (DNP),Jason Smith,DNP
2012-02-21,Pacers,sprained left ankle (DNP),George Hill,DNP
2012-02-21,Spurs,rest (DNP),William Parker,DNP
2012-02-21,Spurs,rest (DNP),Tim Duncan,DNP
2012-02-22,76ers,sprained right thumb (DNP),Elton Brand,DNP
2012-02-22,76ers,strained left Achilles tendon (DNP),Spencer Hawes,DNP
2012-02-22,Bucks,sprained right wrist (DNP),Drew Gooden,DNP
2012-02-22,Bucks,sore right hamstring (DNP),Stephen Jackson,DNP
2012-02-22,Bucks,bruised right shoulder (DNP),Tobias Harris,DNP
2012-02-22,Bulls,DNP (P),Charles Watson,Other
2012-02-22,Celtics,strained right abductor (P) / adductor (CBC F) (DNP),Chris Wilcox,DNP
2012-02-22,Hawks,sprained left elbow (DNP),Jason Collins,DNP
2012-02-22,Hornets,sore left knee (DNP),Emeka Okafor,DNP
2012-02-22,Hornets,concussion (DNP),Jason Smith,DNP
2012-02-22,Jazz,stomach flu (DNP),Jamaal Tinsley,DNP
2012-02-22,Knicks,sore left elbow (DNP),Bill Walker,DNP
2012-02-22,Nets,strained right groin (DNP),Jordan Farmar,DNP
2012-02-22,Nets,strained left calf (DNP) (P),Kris Humphries,DNP
2012-02-22,Nets,sore lower back (DNP),Mehmet Okur,DNP
2012-02-22,Nets,surgery on left foot to remove bone fragment (out for season),Shawne Williams,out for season
2012-02-22,Nuggets,sprained left ankle (DNP) (F P),Danilo Gallinari,DNP
2012-02-22,Nuggets,strained lower back (DNP),Rudy Fernandez,DNP
2012-02-22,Nuggets,sprained left ankle (DNP),Ty Lawson,DNP
2012-02-22,Pacers,sore lower back (DNP),Jeff Foster,DNP
2012-02-22,Rockets,DNP (P),Terrence Williams,Other
2012-02-22,Thunder,fractured orbital floor (DNP),Lazar Hayward,DNP
2012-02-22,Thunder,bruised left quadriceps (DNP),Nick Collison,DNP
2012-02-22,Wizards,strained left calf (DNP) (F),Andray Blatche,DNP
2012-02-23,Hawks,sprained left elbow (DNP),Jason Collins,DNP
2012-02-23,Knicks,sore left elbow (DNP),Bill Walker,DNP
2012-02-23,Nuggets,sprained left ankle (DNP) (P),Danilo Gallinari,DNP
2012-02-23,Nuggets,strained lower back (DNP),Rudy Fernandez,DNP
2012-02-23,Nuggets,sprained left ankle (DNP),Ty Lawson,DNP
2012-02-23,Thunder,fractured orbital floor (DNP),Lazar Hayward,DNP
2012-02-23,Thunder,bruised left quadriceps (DNP),Nick Collison,DNP
2012-02-24,Bulls,returned to lineup,Dwyane Wade,returned to lineup
2012-02-28,76ers,strained left Achilles tendon (DNP),Spencer Hawes,DNP
2012-02-28,Bucks,sore right hamstring (DNP),Stephen Jackson,DNP
2012-02-28,Hornets,sore left knee (DNP),Emeka Okafor,DNP
2012-02-28,Hornets,concussion (DNP),Jason Smith,DNP
2012-02-28,Nets,strained right groin (DNP),Jordan Farmar,DNP
2012-02-28,Spurs,strained right calf (DNP),Kawhi Leonard,DNP
2012-02-28,Warriors,right foot injury (DNP),Stephen Curry,DNP
2012-02-28,Wizards,strained left calf (DNP) (F),Andray Blatche,DNP
2012-02-28,Wizards,sore left knee (DNP),Rashard Lewis,DNP
2012-02-29,76ers,strained left Achilles tendon (DNP),Spencer Hawes,DNP
2012-02-29,Bucks,sore left shoulder (DNP),Luc Moute,DNP
2012-02-29,Bucks,sore right hamstring (DNP),Stephen Jackson,DNP
2012-02-29,Hawks,sprained left elbow (DNP),Jason Collins,DNP
2012-02-29,Hawks,illness (DNP),Vladimir Radmanovic,DNP
2012-02-29,Hornets,sore left knee (DNP),Emeka Okafor,DNP
2012-02-29,Hornets,concussion (DNP),Jason Smith,DNP
2012-02-29,Jazz,stomach flu (DNP),Jamaal Tinsley,DNP
2012-02-29,Jazz,bruised left heel (DNP) (P),Paul Millsap,DNP
2012-02-29,Nuggets,sprained left ankle (DNP) (P),Danilo Gallinari,DNP
2012-02-29,Nuggets,strained lower back (DNP),Rudy Fernandez,DNP
2012-02-29,Thunder,fractured orbital floor (DNP),Lazar Hayward,DNP
2012-02-29,Wizards,strained left calf (DNP) (F),Andray Blatche,DNP
2012-02-29,Wizards,sore left knee (DNP),Rashard Lewis,DNP
2012-03-02,Bucks,sore right hamstring (DNP),Stephen Jackson,DNP
2012-03-02,Cavaliers,illness (DNP),Kyrie Irving,DNP
2012-03-02,Hawks,sprained left elbow (DNP),Jason Collins,DNP
2012-03-02,Hawks,lower back spasms (DNP),Willie Green,DNP
2012-03-02,Hornets,sore left knee (DNP),Emeka Okafor,DNP
2012-03-02,Hornets,concussion (DNP),Jason Smith,DNP
2012-03-02,Hornets,illness (DNP),Trevor Ariza,DNP
2012-03-02,Nuggets,sprained left ankle (DNP) (P),Danilo Gallinari,DNP
2012-03-02,Nuggets,strained lower back (DNP),Rudy Fernandez,DNP
2012-03-02,Warriors,right foot injury (DNP),Stephen Curry,DNP
2012-03-03,Bucks,sore right hamstring (DNP),Stephen Jackson,DNP
2012-03-03,Hawks,sprained left elbow (DNP),Jason Collins,DNP
2012-03-03,Hawks,lower back spasms (DNP),Willie Green,DNP
2012-03-03,Hornets,sprained MCL in left knee (DNP) (F),Carl Landry,DNP
2012-03-03,Hornets,sore left knee (DNP),Emeka Okafor,DNP
2012-03-03,Hornets,concussion (DNP),Jason Smith,DNP
2012-03-03,Hornets,illness (DNP),Trevor Ariza,DNP
2012-03-03,Mavericks,concussion (DNP),Brandan Wright,DNP
2012-03-03,Pacers,sore lower back (DNP),Jeff Foster,DNP
2012-03-03,Thunder,sore right foot (DNP) (F),Thabo Sefolosha,DNP
2012-03-03,Wizards,bruised right knee (DNP),Nick Young,DNP
2012-03-03,Wizards,sore left knee (DNP),Rashard Lewis,DNP
2012-03-04,Nets,sore lower back (DNP) (F),Mehmet Okur,DNP
2012-03-04,Nuggets,sprained left ankle (DNP) (P),Danilo Gallinari,DNP
2012-03-04,Nuggets,strained lower back (DNP) (P),Rudy Fernandez,DNP
2012-03-04,Warriors,right foot injury (DNP),Stephen Curry,DNP
2012-03-05,Bucks,sore right knee (DNP),Luc Moute,DNP
2012-03-05,Bucks,sore right hamstring (DNP),Stephen Jackson,DNP
2012-03-05,Bulls,left ankle injury (DNP),Charles Watson,DNP
2012-03-05,Hornets,sore left knee (DNP),Emeka Okafor,DNP
2012-03-05,Hornets,concussion (DNP),Jason Smith,DNP
2012-03-05,Nuggets,strained lower back (DNP) (P),Rudy Fernandez,DNP
2012-03-05,Pacers,sore lower back (DNP),Jeff Foster,DNP
2012-03-05,Raptors,right knee injury (DTD),Amir Johnson,DTD
2012-03-05,Wizards,sore left knee (DNP),Rashard Lewis,DNP
2012-03-06,Hawks,sprained left elbow (DNP),Jason Collins,DNP
2012-03-06,Mavericks,sprained left ankle (DNP),Brendan Haywood,DNP
2012-03-06,Nets,sprained right ankle (DNP) (F P),Brook Lopez,DNP
2012-03-06,Nets,sore lower back (DNP) (F),Mehmet Okur,DNP
2012-03-06,Pacers,sore lower back (DNP),Jeff Foster,DNP
2012-03-07,76ers,upper respiratory infection (DNP),Thaddeus Young,DNP
2012-03-07,Bucks,sore right knee (DNP),Luc Moute,DNP
2012-03-07,Bucks,sore right hamstring (DNP),Stephen Jackson,DNP
2012-03-07,Bulls,sprained left ankle (DNP),Charles Watson,DNP
2012-03-07,Bulls,right shoulder injury (DNP),Richard Hamilton,DNP
2012-03-07,Cavaliers,fractured bone in right wrist (DNP) (F),Anderson Varejao,DNP
2012-03-07,Clippers,illness (DTD),Ryan Gomes,DTD
2012-03-07,Hawks,rest (DNP),Tracy McGrady,DNP
2012-03-07,Hornets,sprained MCL in left knee (DNP) (F),Carl Landry,DNP
2012-03-07,Hornets,sore left knee (DNP),Emeka Okafor,DNP
2012-03-07,Hornets,sore left foot (DNP),Gustavo Ayon,DNP
2012-03-07,Hornets,concussion (DNP),Jason Smith,DNP
2012-03-07,Kings,food poisoning (DNP),DeMarcus Cousins,DNP
2012-03-07,Knicks,sore right knee (DTD),Jared Jeffries,DTD
2012-03-07,Knicks,hamstring injury (DNP),Tyson Chandler,DNP
2012-03-07,Nets,sprained right ankle (DNP) (P),Brook Lopez,DNP
2012-03-07,Nets,sore lower back (DNP) (F),Mehmet Okur,DNP
2012-03-07,Nuggets,sprained left ankle (DTD),Timofey Mozgov,DTD
2012-03-07,Wizards,sore left knee (DNP),Rashard Lewis,DNP
2012-03-08,Bulls,sore left ankle (DNP),Charles Watson,DNP
2012-03-08,Bulls,sore right shoulder (DNP),Richard Hamilton,DNP
2012-03-08,Mavericks,sprained left ankle (DNP),Brendan Haywood,DNP
2012-03-09,Bucks,sore right hamstring (DNP),Stephen Jackson,DNP
2012-03-09,Cavaliers,fractured bone in right wrist (DNP) (F),Anderson Varejao,DNP
2012-03-09,Clippers,sore ribs (DNP),Kenyon Martin,DNP
2012-03-09,Hawks,lower back spasms (DNP),Willie Green,DNP
2012-03-09,Hornets,sprained MCL in left knee (DNP) (F),Carl Landry,DNP
2012-03-09,Hornets,sore left knee (DNP),Emeka Okafor,DNP
2012-03-09,Hornets,concussion (DNP),Jason Smith,DNP
2012-03-09,Knicks,strained hamstring (DNP),Tyson Chandler,DNP
2012-03-09,Mavericks,sprained left ankle (DNP),Brendan Haywood,DNP
2012-03-09,Nets,sprained right ankle (DNP) (F P),Brook Lopez,DNP
2012-03-09,Nets,sore lower back (DNP) (F),Mehmet Okur,DNP
2012-03-09,Spurs,head injury (DNP) (P),Terrance Ford,DNP
2012-03-09,Timberwolves,back spasms (DNP),Kevin Love,DNP
2012-03-09,Timberwolves,torn ACL in left knee (out for season),Ricky Rubio,out for season
2012-03-10,Bulls,illness (DNP),Joakim Noah,DNP
2012-03-10,Bulls,torn ligament in left wrist (DNP),Luol Deng,DNP
2012-03-10,Bulls,right shoulder injury (DNP),Richard Hamilton,DNP
2012-03-10,Hornets,sprained MCL in left knee (DNP) (F),Carl Landry,DNP
2012-03-10,Hornets,sore left knee (DNP),Emeka Okafor,DNP
2012-03-10,Hornets,concussion (DNP),Jason Smith,DNP
2012-03-10,Jazz,stomach flu (DNP),Devin Harris,DNP
2012-03-10,Mavericks,sprained left ankle (DNP),Brendan Haywood,DNP
2012-03-10,Mavericks,rest (DNP),Jason Kidd,DNP
2012-03-10,Nets,sprained right ankle (DNP) (F P),Brook Lopez,DNP
2012-03-10,Nets,strained right calf (DNP),Deron Williams,DNP
2012-03-10,Nets,sore lower back (DNP) (F),Mehmet Okur,DNP
2012-03-10,Pacers,sprained left shoulder (DNP),George Hill,DNP
2012-03-10,Pacers,sore lower back (DNP),Jeff Foster,DNP
2012-03-10,Timberwolves,back spasms (DNP),Kevin Love,DNP
2012-03-10,Wizards,sore left knee (DNP) (P),Rashard Lewis,DNP
2012-03-11,Bucks,sore right knee (DNP),Luc Moute,DNP
2012-03-11,Bucks,sprained left ankle (DNP),Shaun Livingston,DNP
2012-03-11,Bucks,sore right hamstring (DNP),Stephen Jackson,DNP
2012-03-11,Cavaliers,fractured bone in right wrist (DNP) (F),Anderson Varejao,DNP
2012-03-11,Nuggets,strained left knee (DNP) (F P),Kosta Koufos,DNP
2012-03-11,Pacers,sprained left shoulder (DNP),George Hill,DNP
2012-03-11,Pacers,sore lower back (DNP),Jeff Foster,DNP
2012-03-12,Bucks,sore right knee (DNP),Luc Moute,DNP
2012-03-12,Bucks,sprained left ankle (DNP),Shaun Livingston,DNP
2012-03-12,Bucks,sore right hamstring (DNP),Stephen Jackson,DNP
2012-03-12,Bulls,torn ligament in left wrist (DNP),Luol Deng,DNP
2012-03-12,Bulls,right shoulder injury (DNP),Richard Hamilton,DNP
2012-03-12,Hornets,sprained MCL in left knee (DNP) (F),Carl Landry,DNP
2012-03-12,Hornets,sore left knee (DNP),Emeka Okafor,DNP
2012-03-12,Hornets,concussion (DNP),Jason Smith,DNP
2012-03-12,Nets,sprained right ankle (DNP) (F P),Brook Lopez,DNP
2012-03-12,Nets,strained right calf (DNP),Deron Williams,DNP
2012-03-12,Nets,sore lower back (DNP) (F),Mehmet Okur,DNP
2012-03-12,Wizards,sore left knee (DNP) (P),Rashard Lewis,DNP
2012-03-12,Wizards,fractured left hand (DNP) (F),Ronny Turiaf,DNP
2012-03-13,Cavaliers,fractured bone in right wrist (DNP) (F),Anderson Varejao,DNP
2012-03-13,Grizzlies,concussion (DNP),Rudy Gay,DNP
2012-03-13,Lakers,gastroenteritis (DNP),Luke Walton,DNP
2012-03-13,Magic,sore left foot (DTD),Earl Clark,DTD
2012-03-13,Nuggets,returned to lineup,Timofey Mozgov,returned to lineup
2012-03-13,Pacers,sore lower back (DNP),Jeff Foster,DNP
2012-03-13,Rockets,strained right shoulder (DNP),Kevin Martin,DNP
2012-03-13,Warriors,sprained right ankle (DNP),Stephen Curry,DNP
2012-03-14,Bucks,sprained right ankle (DNP),Shaun Livingston,DNP
2012-03-14,Bulls,sore groin (DNP),Derrick Rose,DNP
2012-03-14,Cavaliers,fractured bone in right wrist (DNP) (F),Anderson Varejao,DNP
2012-03-14,Hawks,hip flexor injury (DTD),Marvin Williams,DTD
2012-03-14,Hornets,sprained MCL in left knee (DNP) (F),Carl Landry,DNP
2012-03-14,Hornets,sore left knee (DNP),Emeka Okafor,DNP
2012-03-14,Hornets,concussion (DNP),Jason Smith,DNP
2012-03-14,Nets,sprained right ankle (DNP) (F P),Brook Lopez,DNP
2012-03-14,Nets,strained right calf (DNP),Deron Williams,DNP
2012-03-14,Nets,sore lower back (DNP) (F),Mehmet Okur,DNP
2012-03-14,Pacers,sore lower back (DNP),Jeff Foster,DNP
2012-03-14,Rockets,strained right shoulder (DNP),Kevin Martin,DNP
2012-03-14,Warriors,sprained right ankle (DNP),Stephen Curry,DNP
2012-03-15,Hornets,sprained MCL in left knee (DNP) (F),Carl Landry,DNP
2012-03-15,Hornets,sore left knee (DNP),Emeka Okafor,DNP
2012-03-15,Hornets,concussion (DNP),Jason Smith,DNP
2012-03-15,Suns,rest (DNP),Grant Hill,DNP
2012-03-15,Suns,rest (DNP),Steve Nash,DNP
2012-03-15,Wizards,sore left knee (DNP) (F P),Rashard Lewis,DNP
2012-03-16,Blazers,left shoulder injury (DNP) (F),Elliot Williams,DNP
2012-03-16,Bulls,strained groin (DNP),Derrick Rose,DNP
2012-03-16,Hawks,hip flexor injury (DTD),Marvin Williams,DTD
2012-03-16,Hawks,hamstring injury (DNP),Willie Green,DNP
2012-03-16,Kings,back injury (DTD),James Hickson,DTD
2012-03-16,Kings,sprained left ankle (DNP),Tyreke Evans,DNP
2012-03-16,Magic,returned to lineup,Earl Clark,returned to lineup
2012-03-16,Nets,sprained right ankle (DNP) (F P),Brook Lopez,DNP
2012-03-16,Nets,sore right calf (DNP),Deron Williams,DNP
2012-03-16,Nets,strained right groin (DNP),Jordan Farmar,DNP
2012-03-16,Pacers,sore lower back (DNP),Jeff Foster,DNP
2012-03-16,Thunder,sore right shoulder (DNP),Daequan Cook,DNP
2012-03-16,Warriors,sprained right ankle (DNP),Stephen Curry,DNP
2012-03-16,Wizards,sore left knee (DNP) (F P),Rashard Lewis,DNP
2012-03-17,Bulls,strained groin (DNP),Derrick Rose,DNP
2012-03-17,Hornets,sprained MCL in left knee (DNP) (F),Carl Landry,DNP
2012-03-17,Hornets,sore left knee (DNP),Emeka Okafor,DNP
2012-03-17,Jazz,strained left / right (CBC) adductor (DNP),Raja Bell,DNP
2012-03-17,Knicks,strained right hamstring (DNP),Baron Davis,DNP
2012-03-17,Mavericks,sore left knee (DNP),Shawn Marion,DNP
2012-03-17,Nets,sore right groin (DNP),Jordan Farmar,DNP
2012-03-17,Pacers,sore lower back (DNP),Jeff Foster,DNP
2012-03-17,Raptors,sprained right ankle (DNP) (F),Jose Calderon,DNP
2012-03-17,Rockets,illness (DNP),Chandler Parsons,DNP
2012-03-17,Rockets,strained right shoulder (DNP),Kevin Martin,DNP
2012-03-17,Warriors,sprained right ankle (DNP),Stephen Curry,DNP
2012-03-18,Hawks,stomach flu / appendicitis (CBC) (DNP),Jannero Pargo,DNP
2012-03-18,Hawks,back injury (DNP),Vladimir Radmanovic,DNP
2012-03-18,Hawks,sore back (DNP),Vladimir Radmanovic,DNP
2012-03-18,Hawks,hamstring injury (DNP),Willie Green,DNP
2012-03-18,Rockets,strained right shoulder (DNP),Kevin Martin,DNP
2012-03-19,Bulls,strained groin (DNP),Derrick Rose,DNP
2012-03-19,Hawks,sore back (DNP),Vladimir Radmanovic,DNP
2012-03-19,Mavericks,sore left knee (DNP),Shawn Marion,DNP
2012-03-19,Nets,sore right groin (DNP),Jordan Farmar,DNP
2012-03-19,Nuggets,fractured right thumb (DTD),Danilo Gallinari,DTD
2012-03-19,Warriors,sprained right ankle (DNP),Stephen Curry,DNP
