Date,Team,Notes,Player,Injury Class
2010-11-23,Heat,surgery on left foot to repair torn ligament (out for season),Udonis Haslem,out for season
2010-11-24,Bucks,sore back (DNP),Andrew Bogut,DNP
2010-11-24,Bucks,strained neck (DNP),Carlos Delfino,DNP
2010-11-24,Bulls,right ankle/foot injury (DNP),Taj Gibson,DNP
2010-11-24,Celtics,broken right wrist (out indefinitely),Delonte West,out indefinitely
2010-11-24,Magic,returned to lineup,Jason Williams,returned to lineup
2010-11-24,Warriors,strained lower back (DNP),Brandan Wright,DNP
2010-11-26,Bucks,sore back (DNP),Andrew Bogut,DNP
2010-11-26,Bucks,strained neck (DNP),Carlos Delfino,DNP
2010-11-26,Raptors,broken right foot (out indefinitely),Reggie Evans,out indefinitely
2010-11-26,Warriors,strained lower back (DNP),Brandan Wright,DNP
2010-11-27,Bucks,sore back (DNP),Andrew Bogut,DNP
2010-11-27,Bucks,sore left ankle (DNP),Corey Maggette,DNP
2010-11-27,Bucks,plantar fasciitis in left foot (DNP),Drew Gooden,DNP
2010-11-27,Wizards,bruised right knee (P) / sore left knee (CBC) (DNP),John Wall,DNP
2010-11-28,Blazers,sprained right ankle (DNP),Sean Marks,DNP
2010-11-28,Clippers,strained left hamstring (DNP),Randy Foye,DNP
2010-11-28,Knicks,bruised right quadriceps (DNP),Toney Douglas,DNP
2010-11-28,Lakers,gastroenteritis (DNP),Devin Ebanks,DNP
2010-11-28,Raptors,swollen left knee (DNP),Predrag Stojakovic,DNP
2010-11-28,Raptors,broken right foot (DNP),Reggie Evans,DNP
2010-11-29,Bucks,sore back (DNP),Andrew Bogut,DNP
2010-11-29,Bucks,illness (DNP),Corey Maggette,DNP
2010-11-29,Bucks,left foot injury (DNP),Drew Gooden,DNP
2010-11-29,Wizards,bruised right knee (P) (DNP),John Wall,DNP
2010-11-30,Celtics,surgery to repair broken right wrist,Delonte West,Other
2010-11-30,Knicks,returned to lineup,Toney Douglas,returned to lineup
2010-12-01,Bucks,sore back (DNP),Andrew Bogut,DNP
2010-12-01,Raptors,swollen left knee (DNP),Predrag Stojakovic,DNP
2010-12-02,Hawks,arthroscopic surgery on right elbow to remove loose particle (out indefinitely),Joe Johnson,out indefinitely
2010-12-03,Hornets,stomach virus (DNP),David West,DNP
2010-12-03,Magic,stomach virus (DNP),Dwight Howard,DNP
2010-12-03,Magic,stomach virus (DNP),Jameer Nelson,DNP
2010-12-03,Raptors,swollen left knee (DNP),Predrag Stojakovic,DNP
2010-12-03,Magic,stomach virus (DNP),Jonathan Redick,DNP
2010-12-04,Magic,stomach virus (DNP),Dwight Howard,DNP
2010-12-04,Magic,stomach virus (DNP),Jonathan Redick,DNP
2010-12-04,Magic,stomach virus (DNP),Jameer Nelson,DNP
2010-12-04,Magic,sprained right foot (DNP),Ryan Anderson,DNP
2010-12-04,Timberwolves,sprained right ankle (DNP),Michael Beasley,DNP
2010-12-05,Celtics,strained hamstring (DNP),Rajon Rondo,DNP
2010-12-05,Raptors,sore/swollen left knee (DNP),Predrag Stojakovic,DNP
2010-12-05,Thunder,sprained right ankle (DTD),Dewayne White,DTD
2010-12-05,Warriors,sprained left foot (DTD),Rodney Carney,DTD
2010-12-06,Magic,stomach flu (DNP),Jameer Nelson,DNP
2010-12-06,Bucks,patella tendinitis in left foot (DNP),Drew Gooden,DNP
2010-12-08,Celtics,returned to lineup,Rajon Rondo,returned to lineup
2010-12-08,Jazz,sprained left ankle (DNP),Kyrylo Fesenko,DNP
2010-12-08,Nuggets,right knee inflammation (DNP),Carmelo Anthony,DNP
2010-12-08,Raptors,swollen left knee (DNP),Predrag Stojakovic,DNP
2010-12-08,Timberwolves,bruised right quadriceps (DNP),Darko Milicic,DNP
2010-12-08,Wizards,sore left foot (DNP),John Wall,DNP
2010-12-09,Celtics,sore right calf (P) / sore left knee (CBC) (DNP),Shaquille O'Neal,DNP
2010-12-10,Bobcats,quadriceps injury (DTD),Tyrus Thomas,DTD
2010-12-10,Hawks,illness (DTD),Zaur Pachulia,DTD
2010-12-10,Jazz,groin injury (DTD),Raja Bell,DTD
2010-12-10,Raptors,sore left foot (DTD),Jose Calderon,DTD
2010-12-10,Thunder,back injury (DTD),Nenad Krstic,DTD
2010-12-10,Thunder,returned to lineup,Dewayne White,returned to lineup
2010-12-10,Timberwolves,returned to lineup,Darko Milicic,returned to lineup
2010-12-10,Warriors,sprained right ankle (DTD),Stephen Curry,DTD
2010-12-11,Cavaliers,stomach virus (DTD),Ryan Hollins,DTD
2010-12-11,Jazz,sprained left ankle (DNP),Kyrylo Fesenko,DNP
2010-12-11,Jazz,strained right abductor (DNP),Raja Bell,DNP
