Year,Name,Age_x,FG%,FT%,PTS,AST,STL,BLK,TOV,Salary,Age_y,player_height,player_weight,gp,net_rating,Salary Cap,Injury_DTD,Injury_DNP,Injury_Out_Indef,Injury_Out_Season,Injury_Returned,Injury_Other,Salary%
2010,Austin Daye,21.0,0.46399999999999997,0.821,349.0,34.0,25.0,26.0,48.0,1803720.0,23.0,210.82,90.7184,72.0,-4.7,57700000,0.0,0.0,0.0,0.0,0.0,0.0,3.1260311958405547
2010,Baron Davis,30.0,0.406,0.821,1145.0,598.0,126.0,43.0,211.0,14000000.0,32.0,190.5,97.52228000000001,58.0,-1.3,57700000,0.0,0.0,0.0,0.0,0.0,0.0,24.263431542461007
2010,Ben Gordon,26.0,0.41600000000000004,0.861,855.0,166.0,49.0,6.0,118.0,10800000.0,28.0,190.5,90.7184,82.0,-3.5,57700000,0.0,0.0,0.0,0.0,0.0,0.0,18.717504332755635
2010,Ben Wallace,35.0,0.541,0.406,381.0,105.0,86.0,84.0,64.0,2080000.0,36.0,205.74,108.86208,54.0,-7.2,57700000,0.0,0.0,0.0,0.0,0.0,0.0,3.604852686308492
2010,Beno Udrih,27.0,0.493,0.8370000000000001,1023.0,372.0,89.0,10.0,136.0,6478600.0,28.0,190.5,92.98635999999999,79.0,-5.6,57700000,0.0,0.0,0.0,0.0,0.0,0.0,11.228076256499135
2010,Boris Diaw,27.0,0.483,0.769,925.0,325.0,60.0,57.0,178.0,9000000.0,29.0,203.2,106.59411999999999,82.0,-3.9,57700000,0.0,0.0,0.0,0.0,0.0,0.0,15.597920277296359
2010,Brad Miller,33.0,0.43,0.8270000000000001,719.0,154.0,44.0,29.0,107.0,4400000.0,35.0,213.36,118.38751200000002,60.0,0.0,57700000,0.0,0.0,0.0,0.0,0.0,0.0,7.625649913344887
2010,Brandon Jennings,20.0,0.371,0.8170000000000001,1270.0,470.0,105.0,18.0,200.0,2331120.0,21.0,185.42,76.657048,63.0,-2.1,57700000,0.0,0.0,0.0,0.0,0.0,0.0,4.040069324090121
2010,Brandon Roy,25.0,0.473,0.78,1398.0,305.0,61.0,16.0,129.0,13603750.0,26.0,198.12,95.707912,47.0,2.5,57700000,0.0,9.0,0.0,0.0,0.0,0.0,23.576689774696707
2010,Brandon Rush,24.0,0.423,0.629,774.0,112.0,56.0,65.0,93.0,2069040.0,25.0,198.12,95.25432,67.0,-6.0,57700000,0.0,0.0,0.0,0.0,0.0,0.0,3.585857885615251
2010,Brendan Haywood,30.0,0.5623333333333335,0.6136666666666667,469.3333333333333,28.666666666666668,17.333333333333332,105.33333333333333,66.0,6900000.0,31.0,213.36,119.294696,72.0,0.8,57700000,0.0,0.0,0.0,0.0,0.0,0.0,11.95840554592721
2010,Brian Cook,29.0,0.304,0.7140000000000001,21.0,1.0,0.0,2.0,6.0,1146337.0,30.0,205.74,113.398,40.0,-8.8,57700000,0.0,0.0,0.0,0.0,0.0,0.0,1.986719237435009
2010,Brian Skinner,33.0,0.4,0.75,26.0,0.0,3.0,4.0,7.0,668434.0,35.0,205.74,115.66596000000001,2.0,-95.6,57700000,0.0,0.0,0.0,0.0,0.0,0.0,1.1584644714038128
2010,Brook Lopez,21.0,0.499,0.8170000000000001,1542.0,187.0,55.0,139.0,204.0,2413320.0,23.0,213.36,120.20188,82.0,-7.0,57700000,0.0,0.0,0.0,0.0,0.0,0.0,4.182530329289428
2010,C.J. Watson,25.0,0.46799999999999997,0.7709999999999999,667.0,180.0,103.0,8.0,69.0,3600000.0,27.0,187.96,79.3786,82.0,8.3,57700000,0.0,0.0,0.0,0.0,0.0,0.0,6.239168110918544
2010,Carlos Arroyo,30.0,0.475,0.8440000000000001,439.0,225.0,36.0,6.0,54.0,196007.0,31.0,187.96,90.7184,64.0,6.2,57700000,0.0,0.0,0.0,0.0,0.0,0.0,0.33970017331022534
2010,Carlos Boozer,28.0,0.562,0.742,1519.0,247.0,84.0,36.0,212.0,14400000.0,29.0,205.74,120.655472,59.0,6.5,57700000,0.0,0.0,0.0,0.0,0.0,0.0,24.956672443674176
2010,Carmelo Anthony,25.0,0.45799999999999996,0.83,1943.0,222.0,88.0,30.0,209.0,17149243.0,27.0,203.2,104.32616,77.0,3.2,57700000,0.0,2.0,0.0,0.0,0.0,0.0,29.721391681109182
2010,Caron Butler,29.0,0.43,0.8249999999999998,804.0,104.0,77.33333333333333,16.0,106.66666666666667,10561960.0,31.0,200.66,103.418976,29.0,8.8,57700000,0.0,0.0,0.0,0.0,0.0,0.0,18.304956672443673
2010,Channing Frye,26.0,0.451,0.81,904.0,113.0,64.0,74.0,73.0,5200000.0,28.0,210.82,111.13004,77.0,2.3,57700000,0.0,0.0,0.0,0.0,0.0,0.0,9.01213171577123
2010,Charlie Bell,30.0,0.381,0.716,459.0,104.0,39.0,12.0,54.0,4447792.0,32.0,190.5,90.7184,19.0,2.0,57700000,0.0,0.0,0.0,0.0,0.0,0.0,7.708478336221837
