season,player,salary
2007-2008,Rasual Butler,3315000
2007-2008,Fred Jones,3300000
2007-2008,Raymond Felton,3274440
2007-2008,Lorenzen Wright,3250000
2007-2008,Chris Duhon,3248000
2007-2008,James Posey,3206000
2007-2008,Shelden Williams,3174240
2007-2008,Michael Doleac,3120000
2007-2008,Charlie Bell,3106000
2007-2008,Michael Finley,3103000
2007-2008,Trevor Ariza,3100000
2007-2008,Willie Green,3094000
2007-2008,Jeff Green,3058200
2007-2008,Francisco Elson,3000000
2007-2008,Jake Voskuhl,3000000
2007-2008,Chucky Atkins,3000000
2007-2008,Brian Scalabrine,3000000
2007-2008,Martell Webster,2974080
2007-2008,Luis Scola,2916667
2007-2008,Damien Wilkins,2900000
2007-2008,James Jones,2900000
2007-2008,Brandon Roy,2883120
2007-2008,Anthony Johnson,2860000
2007-2008,Andre Iguodala,2804889
2007-2008,Yi Jianlian,2777760
2007-2008,Alonzo Mourning,2762500
2007-2008,Primoz Brezec,2750000
2007-2008,Charlie Villanueva,2715000
2007-2008,Matt Bonner,2700000
2007-2008,Andris Biedrins,2636696
2007-2008,Randy Foye,2631840
2007-2008,Robert Swift,2601113
2007-2008,Sebastian Telfair,2562426
2007-2008,Juan Dixon,2550000
2007-2008,Corey Brewer,2535720
2007-2008,Kris Humphries,2522913
2007-2008,Chris Mihm,2500000
2007-2008,Bostjan Nachbar,2500000
2007-2008,Channing Frye,2487240
2007-2008,Al Jefferson,2480885
2007-2008,Andray Blatche,2479339
2007-2008,Jose Calderon,2471604
2007-2008,Keith Bogans,2440000
2007-2008,Steve Francis,2439333
2007-2008,Mark Madsen,2420000
2007-2008,Rudy Gay,2411160
2007-2008,Othella Harrington,2376000
2007-2008,Devean George,2369111
2007-2008,Kirk Snyder,2358433
2007-2008,Jarron Collins,2350000
2007-2008,Jackie Butler,2350000
2007-2008,Brandan Wright,2323080
2007-2008,Jason Hart,2300000
2007-2008,Ike Diogu,2286360
2007-2008,Bonzi Wells,2284200
2007-2008,Lindsey Hunter,2250000
2007-2008,Josh Smith,2243543
2007-2008,Patrick O'Bryant,2216400
2007-2008,D.J. Augustin,2208960
2007-2008,Andrew Bynum,2172000
2007-2008,DeSagana Diop,2146000
2007-2008,Joakim Noah,2135400
2007-2008,JR Smith,2134067
2007-2008,Mouhamed Sene,2105520
2007-2008,Dorell Wright,2040746
2007-2008,Spencer Hawes,2028600
2007-2008,JJ Redick,2000160
2007-2008,Jameer Nelson,1961609
2007-2008,Vassilis Spanoulis,1944000
2007-2008,Walter Herrmann Heinrich,1944000
2007-2008,Victor Khryapa,1928598
2007-2008,Acie Law,1927080
2007-2008,Hilton Armstrong,1900200
2007-2008,Aaron Williams,1890000
2007-2008,Delonte West,1889760
2007-2008,Nenad Krstic,1889760
2007-2008,Carlos Delfino,1868141
2007-2008,Tony Allen,1868141
2007-2008,Sean May,1862160
2007-2008,Thaddeus Young,1830720
2007-2008,Grant Hill,1830000
2007-2008,Jannero Pargo,1830000
2007-2008,Eddie Jones,1830000
2007-2008,Kevin Martin,1808121
2007-2008,Thabo Sefolosha,1805160
2007-2008,Kosta Perovic,1800000
2007-2008,Rashad McCants,1769160
2007-2008,Sasha Vujacic,1756951
2007-2008,David Wesley,1750000
2007-2008,Chuck Hayes,1750000
2007-2008,Maurice Evans,1740000
2007-2008,Julian Wright,1739160
2007-2008,David Harrison,1734316
2007-2008,Ronnie Brewer,1715040
2007-2008,Antoine Wright,1680600
2007-2008,Al Thornton,1652280
2007-2008,Cedric Simmons,1629120
2007-2008,Brevin Knight,1600000
2007-2008,Clifford Robinson,1600000
2007-2008,Joey Graham,1596600
2007-2008,Adrian Griffin,1593000
2007-2008,Rodney Stuckey,1569600
2007-2008,Rodney Carney,1547760
2007-2008,Justin Reed,1529873
2007-2008,Danny Granger,1516800
2007-2008,Travis Diener,1500000
2007-2008,Eddie House,1500000
2007-2008,Nick Young,1491240
2007-2008,Shawne Williams,1470360
2007-2008,Gerald Green,1440960
2007-2008,Sean Williams,1416600
2007-2008,Hakim Warrick,1376040
2007-2008,Marco Belinelli,1345800
2007-2008,Oleksiy Pecherov,1345800
2007-2008,Quincy Douby,1333920
2007-2008,Javaris Crittenton,1285200
2007-2008,Renaldo Balkman,1280640
2007-2008,Alexis Ajinca,1276320
2007-2008,Nate Robinson,1268160
2007-2008,Jason Smith,1233840
2007-2008,Rajon Rondo,1229280
2007-2008,Jacque Vaughn,1219590
2007-2008,Adonal Foyle,1219590
2007-2008,Jarrett Jack,1217400
2007-2008,Jarvis Hayes,1200000
2007-2008,Devin Brown,1200000
2007-2008,Daequan Cook,1184400
2007-2008,Marcus Williams,1180200
2007-2008,Francisco Garcia,1168800
2007-2008,Jared Dudley,1137000
2007-2008,Josh Boone,1133040
2007-2008,Shavlik Randolph,1130000
2007-2008,Luther Head,1122000
2007-2008,Calvin Booth,1103225
2007-2008,Ronnie Price,1100000
2007-2008,Wilson Chandler,1091640
2007-2008,Kyle Lowry,1087680
2007-2008,Rudy Fernandez,1084080
2007-2008,Bernard Robinson,1080000
2007-2008,Johan Petro,1077120
2007-2008,Shannon Brown,1044120
2007-2008,Jason Maxiell,1041360
2007-2008,Linas Kleiza,1011360
2007-2008,Jordan Farmar,1009560
2007-2008,Morris Almond,1005960
2007-2008,Ime Udoka,1000000
2007-2008,Wayne Simien,997800
2007-2008,David Lee,990600
2007-2008,Maurice Ager,974400
2007-2008,Earl Barron,973328
2007-2008,Aaron Brooks,972720
2007-2008,Mardy Collins,967320
2007-2008,CJ Miles,945610
2007-2008,Donell Taylor,945610
2007-2008,Arron Afflalo,944520
2007-2008,Alando Tucker,931920
2007-2008,Melvin Ely,895341
2007-2008,Chris Andersen,885294
2007-2008,Mike Hall,862456
2007-2008,Justin Williams,862456
2007-2008,Mile Ilic,850000
2007-2008,Quinton Ross,826046
2007-2008,Sergio Rodriguez,817000
2007-2008,Randolph Morris,810000
2007-2008,Mickael Gelabale,802000
2007-2008,Josh Powell,800000
2007-2008,Salim Stoudamire,783000
2007-2008,Kareem Rush,770610
2007-2008,Daniel Ewing,770610
2007-2008,Ruben Patterson,770610
2007-2008,Brandon Bass,770610
2007-2008,Derek Anderson,770610
2007-2008,Jeff McInnis,770610
2007-2008,Sean Marks,770610
2007-2008,Casey Jacobsen,770610
2007-2008,Brian Skinner,770610
2007-2008,Von Wafer,770610
2007-2008,Scot Pollard,770610
2007-2008,Juwan Howard,761544
2007-2008,Kyrylo Fesenko,750000
2007-2008,Solomon Jones,729000
2007-2008,Eddie Gill,693549
2007-2008,Craig Smith,687456
2007-2008,Ryan Hollins,687456
2007-2008,Yakhouba Diawara,687456
2007-2008,Leon Powe,687456
2007-2008,Paul Davis,687456
2007-2008,Devin Green,687456
2007-2008,Kelenna Azubuike,687456
2007-2008,Gabe Pruitt,650000
2007-2008,Jelani McCoy,634620
2007-2008,Ian Mahinmi,625840
2007-2008,Dahntay Jones,584757
2007-2008,Richie Frahm,566625
2007-2008,Beno Udrih,561544
2007-2008,Juan Carlos Navarro,538090
2007-2008,Marcin Gortat,427163
2007-2008,Glen Davis,427163
2007-2008,JamesOn Curry,427163
2007-2008,Josh McRoberts,427163
2007-2008,Coby Karl,427163
2007-2008,Jamario Moon,427163
2007-2008,Dominic McGuire,427163
2007-2008,Demetris Nichols,427163
2007-2008,Ramon Sessions,427163
2007-2008,Larry Turner,427163
2007-2008,Elton Brown,427163
2007-2008,Chris Richard,427163
2007-2008,Brandon Wallace,427163
2007-2008,Chris Webber,358107
2007-2008,Earl Boykins,349041
2007-2008,Damon Stoudamire,335442
2007-2008,Courtney Sims,319116
2007-2008,Keith Langford,278912
2007-2008,C.J. Watson,251272
2007-2008,Jeremy Richardson,238588
2007-2008,Jamaal Magloire,231183
2007-2008,P.J. Brown,226650
2007-2008,Ronald Murray,213051
2007-2008,Gordan Giricek,199452
2007-2008,Theo Ratliff,199452
2007-2008,Tyronn Lue,199452
2007-2008,Smush Parker,181320
2007-2008,Brent Barry,172177
2007-2008,Loren Woods,142201
2007-2008,Nick Fazekas,125636
2007-2008,Ira Newble,122391
2007-2008,Mike Harris,100509
2007-2008,Didier Ilunga-Mbenga,90660
2007-2008,Lance Allred,87945
2007-2008,Blake Ahearn,67844
2007-2008,Stephane Lasme,67844
2007-2008,Ronald Dupree,63462
2007-2008,Marcus Williams,50254
2007-2008,Kasib Powell,36395
2007-2008,DerMarr Johnson,27198
2007-2008,Bobby Jones,24263
2007-2008,Linton Johnson,4533
2007-2008,Billy Thomas,4533
2008-2009,Kevin Garnett,24751934
2008-2009,Ray Allen,18388430
2008-2009,Dirk Nowitzki,18077904
2008-2009,Paul Pierce,18077903
2008-2009,Shawn Marion,17810000
2008-2009,Rashard Lewis,16447871
2008-2009,Michael Redd,15780000
2008-2009,Pau Gasol,15106000
2008-2009,Andrei Kirilenko,15106000
2008-2009,Amar'e Stoudemire,15070550
2008-2009,Yao Ming,15070550
2008-2009,Jason Kidd,21372000
2008-2009,Mike Bibby,14983603
2008-2009,Vince Carter,14724125
2008-2009,Zach Randolph,14666667
2008-2009,Gilbert Arenas,14653466
2008-2009,Ben Wallace,14500000
2008-2009,Kenyon Martin,14431816
2008-2009,Dwyane Wade,14410581
2008-2009,Chris Bosh,14410581
2008-2009,LeBron James,14410581
2008-2009,Carmelo Anthony,14410581
2008-2009,Jermaine O'Neal,21372000
2008-2009,Joe Johnson,14232567
2008-2009,Lamar Odom,14148596
2008-2009,Rasheed Wallace,13930000
2008-2009,Wally Szczerbiak,13775000
2008-2009,Dwight Howard,13758000
2008-2009,Elton Brand,13757844
2008-2009,Richard Jefferson,13200000
2008-2009,Larry Hughes,12827676
2008-2009,Raef LaFrentz,12722500
2008-2009,Peja Stojakovic,12528000
2008-2009,Kobe Bryant,21262500
2008-2009,Steve Nash,12250000
2008-2009,Shaquille O'Neal,21000000
2008-2009,Allen Iverson,20840625
2008-2009,Stephon Marbury,20840625
2008-2009,Tim Duncan,20598704
2008-2009,Tracy McGrady,20370437
2008-2009,Jason Richardson,12222221
2008-2009,Carlos Boozer,11593817
2008-2009,Erick Dampier,11553000
2008-2009,Tony Parker,11550000
2008-2009,Brad Miller,11375000
2008-2009,Tyson Chandler,11350000
2008-2009,Andre Iguodala,11300000
2008-2009,Baron Davis,11250000
2008-2009,Samuel Dalembert,11238564
2008-2009,Chauncey Billups,11050000
2008-2009,Al Jefferson,11000000
2008-2009,Monta Ellis,11000000
2008-2009,Zydrunas Ilgauskas,10841615
2008-2009,Richard Hamilton,10812500
2008-2009,Bobby Simmons,10602667
2008-2009,Andre Miller,10333334
2008-2009,Troy Murphy,10126984
2008-2009,Marcus Camby,10000000
2008-2009,Kirk Hinrich,10000000
2008-2009,Josh Howard,9945000
2008-2009,Antawn Jamison,9923285
2008-2009,Manu Ginobili,9905248
2008-2009,David West,9862500
2008-2009,Eddy Curry,9723983
2008-2009,Nene Hilario,9680000
2008-2009,Emeka Okafor,9537500
2008-2009,Gerald Wallace,9500000
2008-2009,Chris Kaman,9500000
2008-2009,Tayshaun Prince,9500000
2008-2009,Luol Deng,9385000
2008-2009,Caron Butler,9249980
2008-2009,Al Harrington,9226250
2008-2009,Jason Terry,9196000
2008-2009,Antoine Walker,9052460
2008-2009,Mike Miller,9028575
2008-2009,Andris Biedrins,9000000
2008-2009,Boris Diaw,9000000
2008-2009,Mike Dunleavy,9000000
2008-2009,Cuttino Mobley,8925000
2008-2009,Kevin Martin,8760335
2008-2009,Marquis Daniels,6864200
2008-2009,Etan Thomas,6864200
2008-2009,Jamaal Tinsley,6750000
2008-2009,Chris Wilcox,6750000
2008-2009,Marko Jaric,6575000
2008-2009,Udonis Haslem,6575000
2008-2009,Luke Ridnour,6500000
2008-2009,Bobby Jackson,6487888
2008-2009,Shane Battier,6448900
2008-2009,Ben Gordon,6404750
2008-2009,Nick Collison,6350000
2008-2009,Joel Przybilla,6310150
2008-2009,Brian Cardinal,6300000
2008-2009,Andrew Bogut,6294195
2008-2009,Dan Gadzuric,6250195
2008-2009,Mike James,6244093
2008-2009,Antonio Daniels,6200000
2008-2009,Earl Watson,6200000
2008-2009,Shareef Abdur-Rahim,6200000
2008-2009,Jerome James,6200000
2008-2009,Leandro Barbosa,6100000
2008-2009,Quentin Richardson,8685500
2008-2009,Jamal Crawford,8640000
2008-2009,Kenny Thomas,8562500
2008-2009,Mark Blount,8513916
2008-2009,Mehmet Okur,8500000
2008-2009,Rasho Nesterovic,8400000
2008-2009,Mo Williams,8353000
2008-2009,Corey Maggette,8275862
2008-2009,Andres Nocioni,8000000
2008-2009,T.J. Ford,8000000
2008-2009,Devin Harris,7800000
2008-2009,Jameer Nelson,7700000
2008-2009,Malik Rose,7647500
2008-2009,Jose Calderon,7438018
2008-2009,Metta World Peace,7400000
2008-2009,Eric Snow,7312500
2008-2009,Stephen Jackson,7140000
2008-2009,Darko Milicic,7020000
2008-2009,Jerry Stackhouse,7000000
2008-2009,John Salmons,6077151
2008-2009,Jared Jeffries,6049400
2008-2009,Nazr Mohammed,6049400
2008-2009,Vladimir Radmanovic,6049400
2008-2009,Matt Harpring,6000000
2008-2009,Jason Kapono,5784480
2008-2009,Anderson Varejao,5784480
2008-2009,Speedy Claxton,5757818
2008-2009,Tony Battie,5746000
2008-2009,Marvin Williams,5636142
2008-2009,Mikki Moore,5632200
2008-2009,Morris Peterson,5592240
2008-2009,Chris Duhon,5585000
2008-2009,Beno Udrih,5585000
2008-2009,DeSagana Diop,5585000
2008-2009,Brendan Haywood,5500000
2008-2009,Jeff Foster,5500000
2008-2009,Mickael Pietrus,5300000
2008-2009,Desmond Mason,5300000
2008-2009,Andrea Bargnani,5176440
2008-2009,Deron Williams,5069449
2008-2009,Matt Carroll,5050000
2008-2009,Greg Oden,5011680
2008-2009,Raja Bell,5000000
2008-2009,JR Smith,4985001
2008-2009,Kyle Korver,4956818
2008-2009,Rafer Alston,4900000
2008-2009,Derrick Rose,4822800
2008-2009,Nenad Krstic,4778548
2008-2009,Derek Fisher,4700000
2008-2009,Reggie Evans,4640000
2008-2009,LaMarcus Aldridge,4631400
2008-2009,Kendrick Perkins,4578880
2008-2009,Chris Paul,4574189
2008-2009,Anthony Parker,4550000
2008-2009,Sasha Vujacic,4524887
2008-2009,Sasha Pavlovic,4500000
2008-2009,Lou Williams,4500000
2008-2009,Kevin Durant,4484040
2008-2009,Damon Jones,4460186
2008-2009,Luke Walton,4420000
2008-2009,Trenton Hassell,4350000
2008-2009,Michael Beasley,4314960
2008-2009,Marcus Banks,4260000
2008-2009,Steve Blake,4250000
2008-2009,Darius Songaila,4235000
2008-2009,Kurt Thomas,4200000
2008-2009,Adam Morrison,4159200
2008-2009,Raymond Felton,4148715
2008-2009,Al Horford,4023720
2008-2009,Greg Buckner,4010005
2008-2009,James Jones,4010000
2008-2009,Kwame Brown,4000000
2008-2009,Bruce Bowen,4000000
2008-2009,Zaza Pachulia,4000000
2008-2009,O.J. Mayo,3875040
2008-2009,Steven Hunter,3862600
2008-2009,Delonte West,3850000
2008-2009,Keith Van Horn,3792112
2008-2009,Martell Webster,3771133
2008-2009,Tyrus Thomas,3749880
2008-2009,CJ Miles,3700000
2008-2009,Daniel Gibson,3700000
2008-2009,Amir Johnson,3666667
2008-2009,Ryan Gomes,3650000
2008-2009,Mike Conley,3630480
2008-2009,Rasual Butler,3630000
2008-2009,DeShawn Stevenson,3616072
2008-2009,Fabricio Oberto,3600000
2008-2009,Robert Swift,3579131
2008-2009,Roger Mason Jr.,3500000
2008-2009,Brian Cook,3500000
2008-2009,Russell Westbrook,3493680
2008-2009,Charlie Villanueva,3448050
2008-2009,Shelden Williams,3395760
2008-2009,Willie Green,3388000
2008-2009,Charlie Bell,3354480
2008-2009,Keyon Dooling,3300000
2008-2009,Jeff Green,3287640
2008-2009,Eduardo Najera,3250000
2008-2009,Chucky Atkins,3240000
2008-2009,Brian Scalabrine,3206897
2008-2009,Kris Humphries,3200000
2008-2009,Channing Frye,3163769
2008-2009,Kevin Love,3163680
2008-2009,Luis Scola,3100667
2008-2009,Trevor Ariza,3100000
2008-2009,Damien Wilkins,3100000
2008-2009,Marc Gasol,3093333
2008-2009,Brandon Roy,3084240
2008-2009,Carl Landry,3000000
2008-2009,Yi Jianlian,2986080
2008-2009,Matt Bonner,2978000
2008-2009,Ike Diogu,2912823
2008-2009,Kelenna Azubuike,2900000
2008-2009,Danilo Gallinari,2873520
2008-2009,Randy Foye,2815560
2008-2009,Andrew Bynum,2769300
2008-2009,Andray Blatche,2739669
2008-2009,Corey Brewer,2725920
2008-2009,Sean May,2661027
2008-2009,Eddie House,2650000
2008-2009,Steve Francis,2634480
2008-2009,Mark Madsen,2630000
2008-2009,Eric Gordon,2623200
2008-2009,Rashad McCants,2620126
2008-2009,Dorell Wright,2612835
2008-2009,Rudy Gay,2579400
2008-2009,Keith Bogans,2565000
2008-2009,Craig Smith,2500000
2008-2009,Chris Mihm,2500000
2008-2009,Michael Finley,2500000
2008-2009,Brandan Wright,2497320
2008-2009,Jason Hart,2484000
2008-2009,Joey Graham,2449184
2008-2009,Joe Alexander,2403120
2008-2009,Danny Granger,2329805
2008-2009,Sebastian Telfair,2300000
2008-2009,Ricky Davis,2300000
2008-2009,Joakim Noah,2295480
2008-2009,Maceo Baston,2272860
2008-2009,Mouhamed Sene,2252400
2008-2009,Tyronn Lue,2250000
2008-2009,D.J. Augustin,2208960
2008-2009,Spencer Hawes,2180760
2008-2009,JJ Redick,2139720
2008-2009,Hakim Warrick,2119102
2008-2009,Brook Lopez,2098560
2008-2009,Jarron Collins,2074302
2008-2009,Acie Law,2071680
2008-2009,Hilton Armstrong,2032800
2008-2009,Nate Robinson,2020179
2008-2009,Jarrett Jack,2002623
2008-2009,Brevin Knight,2000000
2008-2009,Walter Herrmann Heinrich,2000000
2008-2009,Jerryd Bayless,1993560
2008-2009,Francisco Garcia,1983454
2008-2009,Grant Hill,1976400
2008-2009,Eddie Jones,1976400
2008-2009,Thaddeus Young,1968120
2008-2009,Luther Head,1962378
2008-2009,Johan Petro,1939893
2008-2009,Thabo Sefolosha,1931160
2008-2009,Jarvis Hayes,1910000
2008-2009,Anthony Johnson,1910000
2008-2009,Brent Barry,1910000
2008-2009,Jason Thompson,1893840
2008-2009,Jason Maxiell,1877572
2008-2009,Julian Wright,1869600
2008-2009,Ronnie Brewer,1834680
2008-2009,Linas Kleiza,1824493
2008-2009,Antoine Wright,1800000
2008-2009,Brandon Rush,1799160
2008-2009,David Lee,1788033
2008-2009,Al Thornton,1776240
2008-2009,Chuck Hayes,1768000
2008-2009,Cedric Simmons,1742760
2008-2009,Anthony Randolph,1709280
2008-2009,Francisco Elson,1700000
2008-2009,Goran Dragic,1700000
2008-2009,Rodney Stuckey,1687320
2008-2009,Rodney Carney,1655760
2008-2009,Kosta Perovic,1634000
2008-2009,Robin Lopez,1623720
2008-2009,Travis Diener,1620000
2008-2009,Nick Young,1602960
2008-2009,Devean George,1600000
2008-2009,Shawne Williams,1572960
2008-2009,Hamed Haddadi,1572221
2008-2009,Marreese Speights,1542600
2008-2009,Sean Williams,1522920
2008-2009,Ronald Murray,1500000
2008-2009,J.J. Barea,1500000
2008-2009,Roy Hibbert,1465440
2008-2009,Marco Belinelli,1446720
2008-2009,Oleksiy Pecherov,1446720
2008-2009,Quincy Douby,1427040
2008-2009,Drew Gooden,1410441
2008-2009,JaVale McGee,1392240
2008-2009,Javaris Crittenton,1381560
2008-2009,Renaldo Balkman,1369920
2008-2009,JJ Hickson,1329480
2008-2009,Jason Smith,1326360
2008-2009,Calvin Booth,1319651
2008-2009,Rajon Rondo,1315080
2008-2009,Malik Allen,1300000
2008-2009,Alexis Ajinca,1276320
2008-2009,Daequan Cook,1273200
2008-2009,Marcus Williams,1262520
2008-2009,Brian Skinner,1262275
2008-2009,Jacque Vaughn,1262275
2008-2009,Roko-Leni Ukic,1250000
2008-2009,Ryan Anderson,1225200
2008-2009,Jared Dudley,1222320
2008-2009,Josh Boone,1212120
2008-2009,Joe Smith,1200000
2008-2009,Ronnie Price,1188000
2008-2009,Kosta Koufos,1176240
2008-2009,Courtney Lee,1176240
2008-2009,Wilson Chandler,1173480
2008-2009,Kyle Lowry,1163520
2008-2009,Rudy Fernandez,1084080
2008-2009,Morris Almond,1081440
2008-2009,Ime Udoka,1080000
2008-2009,Jordan Farmar,1080000
2008-2009,Aaron Brooks,1045560
2008-2009,Maurice Ager,1042440
2008-2009,Nicolas Batum,1040640
2008-2009,Mardy Collins,1034760
2008-2009,Arron Afflalo,1015440
2008-2009,George Hill,1006200
2008-2009,Alando Tucker,1001880
2008-2009,Loren Woods,998581
2008-2009,Melvin Ely,998398
2008-2009,Devin Brown,998398
2008-2009,Darrell Arthur,977160
2008-2009,Ryan Hollins,972581
2008-2009,Chris Quinn,972581
2008-2009,D.J. White,964080
2008-2009,J.R. Giddens,957120
2008-2009,Chris Richard,886517
2008-2009,Didier Ilunga-Mbenga,880658
2008-2009,Yakhouba Diawara,875000
2008-2009,Sergio Rodriguez,874000
2008-2009,Royal Ivey,854957
2008-2009,Josh Powell,854957
2008-2009,Shaun Livingston,854957
2008-2009,Ian Mahinmi,841000
2008-2009,Stephen Graham,826269
2008-2009,Salim Stoudamire,826269
2008-2009,Brandon Bass,826269
2008-2009,Joey Dorsey,816500
2008-2009,Kyrylo Fesenko,810000
2008-2009,Donte Greene,809300
2008-2009,Kyle Weaver,806452
2008-2009,Donyell Marshall,797581
2008-2009,Luke Jackson,797581
2008-2009,Jason Williams,797581
2008-2009,Leon Powe,797581
2008-2009,Paul Davis,797581
2008-2009,Jamaal Magloire,797581
2008-2009,Patrick O'Bryant,797581
2008-2009,Sean Marks,797581
2008-2009,Randolph Morris,797581
2008-2009,Luc Mbah a Moute,757000
2008-2009,Ramon Sessions,722517
2008-2009,Lindsey Hunter,722515
2008-2009,Thomas Gardner,711517
2008-2009,Mike Harris,711517
2008-2009,Dominic McGuire,711517
2008-2009,Demetris Nichols,711517
2008-2009,Hassan Adams,711517
2008-2009,Jamario Moon,711517
2008-2009,Aaron Gray,711517
2008-2009,Will Bynum,711517
2008-2009,Mario Chalmers,700000
2008-2009,Dwayne Jones II,670906
2008-2009,Blake Ahearn,631995
2008-2009,Antonio McDyess,600532
2008-2009,Jeremy Richardson,591148
2008-2009,Juwan Howard,586457
2008-2009,Jake Voskuhl,577073
2008-2009,DeAndre Jordan,550000
2008-2009,Henry Walker,542114
2008-2009,Dikembe Mutombo,502007
2008-2009,Mike Taylor,500000
2008-2009,Fred Jones,459782
2008-2009,Darius Miles,450399
2008-2009,Darnell Jackson,450000
2008-2009,Sonny Weems,442114
2008-2009,Steven Hill,442114
2008-2009,Anthony Morrow,442114
2008-2009,Walter Sharpe,442114
2008-2009,Joe Crawford,442114
2008-2009,Taj McCullough,442114
2008-2009,Nathan Jawai,442114
2008-2009,Bobby Brown,442114
2008-2009,Jamaal Tatum,442114
2008-2009,Othello Hunter,442114
2008-2009,Jermareo Davidson,422725
2008-2009,Malik Hairston,299077
2008-2009,Stromile Swift,201741
2008-2009,James White,184157
2008-2009,Dontell Jefferson,93624
2008-2009,Cartier Martin,52014
2008-2009,Trey Johnson,46917
2008-2009,Eddie Gill,46917
2009-2010,Kobe Bryant,23034375
2009-2010,Michael Redd,17040000
2009-2010,Pau Gasol,16452000
2009-2010,Andrei Kirilenko,16452000
2009-2010,Kevin Garnett,16417044
2009-2010,Amar'e Stoudemire,16378325
2009-2010,Yao Ming,16378325
2009-2010,Gilbert Arenas,16192080
2009-2010,Vince Carter,16123250
2009-2010,Zach Randolph,16000000
2009-2010,Kenyon Martin,15852511
2009-2010,Jermaine O'Neal,23016000
2009-2010,Dwyane Wade,15779912
2009-2010,Chris Bosh,15779912
2009-2010,LeBron James,15779912
2009-2010,Carmelo Anthony,15779912
2009-2010,Dwight Howard,15202590
2009-2010,Joe Johnson,14976754
2009-2010,Elton Brand,14858472
2009-2010,Richard Jefferson,14200000
2009-2010,Chris Paul,13520500
2009-2010,Deron Williams,13520500
2009-2010,Tracy McGrady,22843124
2009-2010,Peja Stojakovic,13392000
2009-2010,Jason Richardson,13333332
2009-2010,Steve Nash,13125000
2009-2010,Tony Parker,12600000
2009-2010,Andrew Bynum,12500000
2009-2010,Carlos Boozer,12323900
2009-2010,Brad Miller,12250000
2009-2010,Andre Iguodala,12200000
2009-2010,Erick Dampier,12115500
2009-2010,Baron Davis,12100000
2009-2010,Tim Duncan,22183220
2009-2010,Chauncey Billups,12100000
2009-2010,Shaquille O'Neal,21000000
2009-2010,Dirk Nowitzki,19795714
2009-2010,Paul Pierce,19795712
2009-2010,Ray Allen,18776860
2009-2010,Rashard Lewis,18010791
2009-2010,Samuel Dalembert,12025694
2009-2010,Al Jefferson,12000000
2009-2010,Tyson Chandler,11700000
2009-2010,Antawn Jamison,11641095
2009-2010,Richard Hamilton,11375000
2009-2010,Bobby Simmons,11242666
2009-2010,Troy Murphy,11047619
2009-2010,Monta Ellis,11000000
2009-2010,Josh Howard,10890000
2009-2010,Josh Smith,10800000
2009-2010,Emeka Okafor,10797500
2009-2010,Manu Ginobili,10728130
2009-2010,Nene Hilario,10520000
2009-2010,Eddy Curry,10500423
2009-2010,Chris Kaman,10400000
2009-2010,Luol Deng,10365000
2009-2010,Tayshaun Prince,10324380
2009-2010,Danny Granger,10130500
2009-2010,Al Harrington,10026875
2009-2010,Andrew Bogut,10000000
2009-2010,Ben Gordon,10000000
2009-2010,Mike Dunleavy,9780992
2009-2010,Caron Butler,9780970
2009-2010,Mike Miller,9780937
2009-2010,Kevin Martin,9680170
2009-2010,Cuttino Mobley,9500000
2009-2010,Gerald Wallace,9500000
2009-2010,Kirk Hinrich,9500000
2009-2010,Jamal Crawford,9360000
2009-2010,Marcus Camby,9150000
2009-2010,Jason Terry,9075000
2009-2010,David West,9075000
2009-2010,Andris Biedrins,9000000
2009-2010,Boris Diaw,9000000
2009-2010,Hedo Turkoglu,9000000
2009-2010,Corey Maggette,8937931
2009-2010,Mo Williams,8860000
2009-2010,Kenny Thomas,8775000
2009-2010,Quentin Richardson,8700000
2009-2010,T.J. Ford,8500000
2009-2010,Shawn Marion,6635068
2009-2010,Tony Battie,6606600
2009-2010,Antonio Daniels,6600000
2009-2010,Leandro Barbosa,6600000
2009-2010,Jerome James,6600000
2009-2010,Andrea Bargnani,6527491
2009-2010,Luke Ridnour,6500000
2009-2010,Charlie Villanueva,6500000
2009-2010,Jared Jeffries,6466600
2009-2010,Nazr Mohammed,6466600
2009-2010,Vladimir Radmanovic,6466600
2009-2010,John Salmons,6429151
2009-2010,Anderson Varejao,6363636
2009-2010,Nick Collison,6250000
2009-2010,Mike Bibby,6217617
2009-2010,Jason Kapono,6212960
2009-2010,JR Smith,6171426
2009-2010,Jeff Foster,6077500
2009-2010,Chris Duhon,6031800
2009-2010,James Posey,6031800
2009-2010,DeSagana Diop,6031800
2009-2010,Devin Harris,8400000
2009-2010,Jose Calderon,8219009
2009-2010,Jason Kidd,8100000
2009-2010,Jameer Nelson,8100000
2009-2010,Mark Blount,7967375
2009-2010,Etan Thomas,7906088
2009-2010,Paul Millsap,7692932
2009-2010,Stephen Jackson,7650000
2009-2010,Darko Milicic,7540000
2009-2010,Andres Nocioni,7500000
2009-2010,Marvin Williams,7500000
2009-2010,Lamar Odom,7500000
2009-2010,Marko Jaric,7100000
2009-2010,Udonis Haslem,7100000
2009-2010,David Lee,7000000
2009-2010,Shane Battier,6939200
2009-2010,Joel Przybilla,6857725
2009-2010,Dan Gadzuric,6749260
2009-2010,Andre Miller,6730800
2009-2010,Brendan Haywood,6000000
2009-2010,Rasheed Wallace,5854000
2009-2010,Trevor Ariza,5854000
2009-2010,Marcin Gortat,5854000
