season,player,salary
2002-2003,Shawn Marion,2265000
2002-2003,Pat Garrity,2238000
2002-2003,Chris Mihm,2222000
2002-2003,Eddie Griffin,2162000
2002-2003,Ricky Davis,2156000
2002-2003,Jason Terry,2153000
2002-2003,Brian Skinner,2148000
2002-2003,Al Harrington,2110000
2002-2003,Corey Maggette,2069000
2002-2003,Jamal Crawford,2026000
2002-2003,Shammond Williams,1987000
2002-2003,DeSagana Diop,1980000
2002-2003,Metta World Peace,1904000
2002-2003,Tyronn Lue,1885000
2002-2003,Joel Przybilla,1862000
2002-2003,Rodney White,1821000
2002-2003,Keyon Dooling,1769000
2002-2003,Joe Johnson,1729000
2002-2003,James Posey,1723000
2002-2003,Jerome Moiso,1681000
2002-2003,Danny Manning,1650000
2002-2003,Kedrick Brown,1643000
2002-2003,Tony Massenburg,1636000
2002-2003,Etan Thomas,1605000
2002-2003,Dion Glover,1584000
2002-2003,Jeff Foster,1571000
2002-2003,Vladimir Radmanovic,1561000
2002-2003,Kenny Thomas,1557000
2002-2003,Devean George,1542000
2002-2003,Samaki Walker,1540000
2002-2003,Courtney Alexander,1524000
2002-2003,Richard Jefferson,1482000
2002-2003,Mateen Cleaves,1441000
2002-2003,Jumaine Jones,1419000
2002-2003,Scott Padgett,1410000
2002-2003,Troy Murphy,1409000
2002-2003,Brian Shaw,1400000
2002-2003,Corie Blount,1400000
2002-2003,Monty Williams,1400000
2002-2003,Jason Collier,1376000
2002-2003,Hedo Turkoglu,1300000
2002-2003,Bryce Drew,1300000
2002-2003,Kirk Haston,1271000
2002-2003,Desmond Mason,1235000
2002-2003,Michael Bradley,1208000
2002-2003,Quentin Richardson,1174000
2002-2003,Jason Collins,1147000
2002-2003,Jamaal Magloire,1126000
2002-2003,Don Reid,1100000
2002-2003,Danny Ferry,1100000
2002-2003,Mark Bryant,1100000
2002-2003,Zach Randolph,1096000
2002-2003,Speedy Claxton,1081000
2002-2003,Morris Peterson,1033000
2002-2003,Michael Jordan,1030000
2002-2003,Joseph Forte,1009000
2002-2003,Kevin Willis,1000000
2002-2003,Donnell Harvey,992000
2002-2003,Jeryl Sasser,969000
2002-2003,DeShawn Stevenson,956000
2002-2003,Brandon Armstrong,930000
2002-2003,Dalibor Bagaric,914000
2002-2003,Andrei Kirilenko,893000
2002-2003,Jake Tsakalidis,877000
2002-2003,Mamadou N'diaye,852000
2002-2003,Bruce Bowen,824000
2002-2003,Cherokee Parks,824000
2002-2003,Emanual Davis,824000
2002-2003,Mark Madsen,817000
2002-2003,Jamaal Tinsley,805000
2002-2003,Primoz Brezec,805000
2002-2003,Tony Parker,800000
2002-2003,Milt Palacio,749000
2002-2003,Gerald Wallace,714000
2002-2003,Jacque Vaughn,700000
2002-2003,Earl Boykins,700000
2002-2003,Vladimir Stepania,637000
2002-2003,Mark Blount,637000
2002-2003,Amal McCaskill,612000
2002-2003,Charles Smith,612000
2002-2003,Jake Voskuhl,587000
2002-2003,Stephen Jackson,587000
2002-2003,Ryan Bowen,587000
2002-2003,Olumide Oyedeji,587000
2002-2003,Predrag Drobnjak,526000
2002-2003,Trenton Hassell,512000
2002-2003,Damone Brown,512000
2002-2003,Gilbert Arenas,512000
2002-2003,Jeff Trepagnier,512000
2002-2003,Brian Scalabrine,512000
2003-2004,Kevin Garnett,28000000
2003-2004,Antoine Walker,13500000
2003-2004,Stephon Marbury,13500000
2003-2004,Michael Finley,13281000
2003-2004,Keith Van Horn,13280000
2003-2004,Tim Duncan,13279000
2003-2004,Tracy McGrady,13279000
2003-2004,Jalen Rose,13279000
2003-2004,Eddie Jones,12320000
2003-2004,Brian Grant,12234000
2003-2004,Vlade Divac,12051000
2003-2004,Shaquille O'Neal,26571000
2003-2004,Antonio Davis,12000000
2003-2004,Vince Carter,11953000
2003-2004,Tim Thomas,11825000
2003-2004,Tom Gugliotta,11668000
2003-2004,Jason Kidd,10950000
2003-2004,Nick Van Exel,10912000
2003-2004,Glenn Robinson,10730000
2003-2004,Theo Ratliff,10156000
2003-2004,Glen Rice,9600000
2003-2004,Kerry Kittles,9267000
2003-2004,Rasheed Wallace,18000000
2003-2004,Greg Ostertag,8666000
2003-2004,Jamal Mashburn,8525000
2003-2004,Toni Kukoc,8050000
2003-2004,Maurice Taylor,7800000
2003-2004,Derek Anderson,7794000
2003-2004,Wesley Person,7700000
2003-2004,Alan Henderson,7682000
2003-2004,Austin Croshere,7610000
