Age,FG%,FT%,PTS,AST,STL,BLK,TOV
27.0,0.45799999999999996,0.8240000000000001,686.0,391.0,185.0,14.0,124.0
31.0,0.37966666666666665,0.8410000000000001,164.0,44.0,29.333333333333332,8.666666666666666,40.666666666666664
25.0,0.47200000000000003,0.7559999999999999,612.0,142.0,68.0,46.0,88.0
26.0,0.526,0.812,1553.0,320.0,128.0,25.0,250.0
25.0,0.445,0.777,873.0,109.0,77.0,39.0,165.0
27.0,0.475,0.727,464.0,100.0,66.0,23.0,95.0
33.0,0.495,0.8320000000000001,1354.0,361.0,60.0,19.0,179.0
24.0,0.4726666666666666,0.7773333333333333,782.0,197.33333333333334,93.33333333333333,26.666666666666668,122.66666666666667
27.0,0.419,0.83,299.0,153.0,60.0,22.0,67.0
22.0,0.484,0.816,828.0,235.0,100.0,4.0,168.0
23.0,0.38199999999999995,0.774,374.0,118.0,84.0,12.666666666666666,70.66666666666667
24.0,0.429,0.5,21.0,5.0,1.0,0.0,3.0
28.0,0.49700000000000005,0.6629999999999999,1009.0,57.0,50.0,176.0,141.0
32.0,0.451,0.634,1598.0,149.0,96.0,159.0,229.0
22.0,0.5,0.718,1414.0,356.0,123.0,12.0,322.0
27.0,0.4206666666666667,0.8570000000000001,136.0,91.33333333333333,12.0,0.6666666666666666,62.0
22.0,0.44299999999999995,0.657,502.0,145.0,54.0,19.0,98.0
26.0,0.44799999999999995,0.7190000000000001,733.0,453.0,176.0,24.0,181.0
29.0,0.488,0.898,1192.0,240.0,110.0,25.0,164.0
26.0,0.412,0.726,149.33333333333334,30.666666666666668,14.0,9.333333333333334,28.0
27.0,0.4,0.636,102.0,48.0,9.0,3.0,20.0
34.0,0.495,0.795,1304.0,388.0,82.0,22.0,205.0
29.0,0.424,0.612,620.0,132.0,129.0,101.0,120.0
24.0,0.419,0.75,54.0,20.0,3.0,5.0,12.0
25.0,0.536,0.83,2232.0,302.0,136.0,110.0,306.0
29.0,0.395,0.7190000000000001,703.0,111.0,78.0,274.0,221.0
25.0,0.33299999999999996,1.0,6.0,5.0,1.0,0.0,4.0
27.0,0.46299999999999997,0.716,1587.0,294.0,137.0,27.0,312.0
22.0,0.386,0.6859999999999999,345.0,83.0,56.0,18.0,82.0
22.0,0.385,0.429,13.0,2.0,0.0,0.0,5.0
23.0,0.425,0.772,372.0,62.0,30.0,13.0,64.0
25.0,0.361,0.639,145.0,24.0,16.0,0.0,39.0
26.0,0.424,0.552,155.0,40.0,18.0,15.0,33.0
