Year,Name,Age,PER,GS,GP,TS%,FTr,OWS,DWS,WS,WS/48,FG%,2P%,eFG%,3P%,FT%,3PA,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,VORP,GS/GP,MPG,ORPG,DRPG,RPG,APG,SPG,BPG,TPG,PFPG,PPG,FGPG,FGAPG,3PPG,3PAPG,2PPG,2PAPG,FTPG,FTAPG,Salary,player_height,player_weight,Salary Cap,Injury_DTD,Injury_DNP,Injury_Out_Indef,Injury_Out_Season,Injury_Returned,Injury_Other,Salary%
2010,Aaron Brooks,25.0,16.0,82.0,82.0,0.5489999999999999,0.22399999999999998,3.9,1.6,5.5,0.091,0.43200000000000005,0.45399999999999996,0.511,0.39799999999999996,0.8220000000000001,525.0,2.0,6.6,4.2,25.6,1.2,0.3,13.7,25.7,2.7,-2.5,0.2,1.6,1.0,35.59756097560975,0.6585365853658537,1.9634146341463414,2.6219512195121952,5.2926829268292686,0.8414634146341463,0.17073170731707318,2.8292682926829267,2.426829268292683,19.5609756097561,7.012195121951219,16.23170731707317,2.548780487804878,6.402439024390244,4.463414634146342,9.829268292682928,2.9878048780487805,3.6341463414634148,2016692.0,182.88,73.028312,57700000,0.0,0.0,0.0,0.0,0.0,0.0,3.4951334488734838
2010,Acie Law,25.0,15.049999999999999,0.5,13.0,0.584,0.6905,0.175,0.07500000000000001,0.3,0.0965,0.47250000000000003,0.5207499999999999,0.50075,0.24474999999999997,0.7935,8.0,0.975,5.625,3.3499999999999996,16.925,2.425,0.725,13.7,22.6,-1.7249999999999999,-2.6,-4.325,-0.05,0.030448717948717948,9.279166666666667,0.09134615384615385,0.4915598290598291,0.582905982905983,1.0166666666666666,0.5168803418803419,0.03739316239316239,0.5967948717948718,0.6538461538461539,4.455982905982906,1.3629273504273505,2.8030982905982906,0.18141025641025643,0.5816239316239317,1.181517094017094,2.2214743589743593,1.5487179487179488,1.9780982905982907,633253.0,190.5,91.625584,57700000,0.0,0.0,0.0,0.0,0.0,0.0,1.0974922010398613
2010,Al Harrington,29.0,16.8,15.0,72.0,0.546,0.308,2.2,1.3,3.5,0.077,0.435,0.496,0.503,0.342,0.757,409.0,4.5,16.7,10.5,8.6,1.4,0.9,10.1,26.8,0.7,-2.6,-1.9,0.1,0.20833333333333334,30.48611111111111,1.2222222222222223,4.402777777777778,5.625,1.5277777777777777,0.8611111111111112,0.3611111111111111,1.8333333333333333,2.9027777777777777,17.72222222222222,6.222222222222222,14.305555555555555,1.9444444444444444,5.680555555555555,4.277777777777778,8.625,3.3333333333333335,4.402777777777778,5765000.0,205.74,113.398,57700000,0.0,0.0,0.0,0.0,0.0,0.0,9.991334488734834
2010,Al Horford,23.0,19.4,81.0,81.0,0.594,0.319,6.9,3.9,10.9,0.183,0.551,0.551,0.552,1.0,0.789,1.0,9.6,23.3,16.4,10.4,1.1,2.4,11.2,17.6,1.5,1.9,3.3,3.8,1.0,35.123456790123456,2.9135802469135803,6.950617283950617,9.864197530864198,2.3333333333333335,0.7283950617283951,1.123456790123457,1.5061728395061729,2.7777777777777777,14.17283950617284,5.765432098765432,10.45679012345679,0.012345679012345678,0.012345679012345678,5.753086419753086,10.444444444444445,2.6296296296296298,3.3333333333333335,5444857.0,208.28,111.13004,57700000,0.0,0.0,0.0,0.0,0.0,0.0,9.436493934142115
2010,Al Jefferson,25.0,19.0,76.0,76.0,0.524,0.23600000000000002,2.3,2.3,4.6,0.09,0.498,0.5,0.498,0.0,0.68,4.0,8.0,24.2,16.0,10.0,1.3,3.0,9.9,24.3,-0.9,0.5,-0.4,1.0,1.0,32.4078947368421,2.3684210526315788,6.881578947368421,9.25,1.8026315789473684,0.8289473684210527,1.2894736842105263,1.7894736842105263,2.6973684210526314,17.11842105263158,7.368421052631579,14.802631578947368,0.0,0.05263157894736842,7.368421052631579,14.75,2.3815789473684212,3.5,13000000.0,208.28,127.00576000000001,57700000,0.0,0.0,0.0,0.0,0.0,0.0,22.530329289428074
2010,Al Thornton,26.0,11.833333333333334,30.666666666666668,50.0,0.5219999999999999,0.31566666666666665,0.8000000000000002,0.6666666666666666,1.4666666666666668,0.050333333333333334,0.4713333333333333,0.4776666666666667,0.48100000000000004,0.355,0.7200000000000001,20.666666666666668,6.2,10.4,8.266666666666667,7.133333333333333,1.2,1.3333333333333333,11.866666666666665,19.0,-1.9000000000000001,-0.7000000000000001,-2.566666666666667,-0.26666666666666666,0.6227450980392156,27.78411764705882,1.5016666666666667,2.4765686274509804,3.978235294117647,1.201470588235294,0.6411764705882352,0.47990196078431374,1.3847058823529412,2.7178431372549023,10.710588235294118,4.249019607843137,9.010980392156862,0.1649019607843137,0.4653921568627451,4.084117647058823,8.545588235294117,2.047647058823529,2.8462745098039215,211084.0,203.2,106.59411999999999,57700000,0.0,0.0,0.0,0.0,0.0,0.0,0.36583015597920276
2010,Alonzo Gee,22.0,16.2,2.0,11.0,0.564,0.49200000000000005,0.3,0.1,0.4,0.10800000000000001,0.475,0.42,0.534,0.778,0.621,9.0,9.3,11.6,10.4,6.4,2.0,0.4,12.2,20.4,0.2,-1.6,-1.4,0.0,0.18181818181818182,16.545454545454547,1.3636363636363635,1.6363636363636365,3.0,0.6363636363636364,0.6363636363636364,0.09090909090909091,0.9090909090909091,1.1818181818181819,7.363636363636363,2.5454545454545454,5.363636363636363,0.6363636363636364,0.8181818181818182,1.9090909090909092,4.545454545454546,1.6363636363636365,2.6363636363636362,641141.0,198.12,99.79024,57700000,0.0,0.0,0.0,0.0,0.0,0.0,1.1111629116117852
2010,Amar'e Stoudemire,27.0,22.6,82.0,82.0,0.615,0.5,8.2,2.5,10.7,0.18100000000000002,0.557,0.5589999999999999,0.557,0.16699999999999998,0.7709999999999999,6.0,9.7,18.9,14.5,4.8,0.9,2.1,12.1,27.3,1.6,-1.3,0.3,1.6,1.0,34.609756097560975,2.8048780487804876,6.121951219512195,8.926829268292684,1.0,0.6341463414634146,1.0121951219512195,2.597560975609756,3.426829268292683,23.121951219512194,8.585365853658537,15.414634146341463,0.012195121951219513,0.07317073170731707,8.573170731707316,15.341463414634147,5.939024390243903,7.7073170731707314,16486611.0,208.28,108.86208,57700000,0.0,0.0,0.0,0.0,0.0,0.0,28.57298266897747
2010,Anderson Varejao,27.0,15.8,7.0,76.0,0.598,0.375,4.3,3.8,8.1,0.179,0.5720000000000001,0.5760000000000001,0.573,0.2,0.6629999999999999,5.0,10.9,20.4,15.9,6.1,1.7,2.4,11.0,13.1,0.4,2.6,3.0,2.7,0.09210526315789473,28.5,2.486842105263158,5.118421052631579,7.605263157894737,1.144736842105263,0.9342105263157895,0.881578947368421,0.881578947368421,2.9342105263157894,8.56578947368421,3.513157894736842,6.144736842105263,0.013157894736842105,0.06578947368421052,3.5,6.078947368421052,1.5263157894736843,2.3026315789473686,7281818.0,210.82,117.93392,57700000,0.0,0.0,0.0,0.0,0.0,0.0,12.620135181975737
2010,Andray Blatche,23.0,17.6,36.0,81.0,0.519,0.23399999999999999,0.8,2.6,3.4,0.073,0.478,0.48700000000000004,0.485,0.295,0.7440000000000001,44.0,7.9,18.2,13.0,13.8,2.0,2.4,14.2,25.8,-0.6,1.2,0.6,1.5,0.4444444444444444,27.85185185185185,1.9506172839506173,4.333333333333333,6.283950617283951,2.0987654320987654,1.0493827160493827,0.8765432098765432,2.246913580246914,2.691358024691358,14.11111111111111,5.901234567901234,12.333333333333334,0.16049382716049382,0.5432098765432098,5.7407407407407405,11.790123456790123,2.1481481481481484,2.888888888888889,5904152.0,210.82,117.93392,57700000,0.0,0.0,0.0,0.0,0.0,0.0,10.232499133448874
