Year,Name,Age,FG%,FT%,PTS,AST,STL,BLK,TOV,Salary,player_height,player_weight,gp,net_rating,Salary Cap
2010,Erick Dampier,34.0,0.624,0.604,328.0,31.0,15.0,77.0,61.0,713666.0,210.82,120.20188,51.0,6.8,57700000
2010,Ersan Ilyasova,22.0,0.44299999999999995,0.715,840.0,84.0,53.0,23.0,71.0,2320500.0,208.28,106.59411999999999,60.0,1.1,57700000
2010,Etan Thomas,31.0,0.456,0.591,75.0,1.0,4.0,16.0,18.0,854389.0,208.28,117.93392,13.0,-19.4,57700000
2010,Francisco Garcia,28.0,0.466,0.882,202.0,45.0,10.0,19.0,21.0,5500000.0,200.66,88.45044,58.0,-5.6,57700000
2010,Garrett Temple,23.0,0.42424999999999996,0.7585,68.0,10.5,6.5,3.0,13.5,80703.0,198.12,88.45044,24.0,-6.6,57700000
2010,Gerald Henderson,22.0,0.35600000000000004,0.745,113.0,13.0,10.0,9.0,14.0,2103840.0,193.04,97.52228000000001,68.0,-2.6,57700000
2010,Gerald Wallace,27.0,0.484,0.7759999999999999,1386.0,161.0,117.0,83.0,178.0,10500000.0,200.66,99.79024,71.0,3.0,57700000
2010,Gilbert Arenas,28.0,0.41100000000000003,0.7390000000000001,722.0,230.0,41.0,9.0,117.0,17730694.0,193.04,97.52228000000001,70.0,-0.7,57700000
2010,Glen Davis,24.0,0.43700000000000006,0.696,340.0,35.0,21.0,14.0,53.0,3000004.0,205.74,131.088088,78.0,3.6,57700000
2010,Goran Dragic,23.0,0.452,0.736,635.0,241.0,48.0,8.0,126.0,1972000.0,190.5,86.18248,70.0,-6.7,57700000
2010,Grant Hill,37.0,0.478,0.8170000000000001,912.0,193.0,60.0,36.0,108.0,3240000.0,203.2,102.0582,80.0,1.5,57700000
2010,Hakim Warrick,27.0,0.48200000000000004,0.7396666666666666,488.6666666666667,34.666666666666664,16.0,12.0,53.333333333333336,4250000.0,205.74,99.336648,80.0,-4.1,57700000
2010,Hamed Haddadi,24.0,0.387,0.737,62.0,10.0,1.0,14.0,20.0,1600000.0,218.44,120.20188,31.0,11.2,57700000
2010,Hasheem Thabeet,22.0,0.588,0.581,208.0,11.0,15.0,89.0,43.0,4793280.0,220.98,119.294696,47.0,-14.8,57700000
2010,Hedo Turkoglu,30.0,0.409,0.774,835.0,304.0,55.0,32.0,125.0,10215850.0,208.28,99.79024,81.0,6.4,57700000
2010,Ian Mahinmi,23.0,0.636,0.66,101.0,2.0,3.0,8.0,15.0,885120.0,210.82,104.32616,56.0,8.8,57700000
2010,Ime Udoka,32.0,0.37799999999999995,0.737,250.0,58.0,34.0,6.0,42.0,708640.0,195.58,99.79024,20.0,0.6,57700000
2010,J.J. Barea,25.0,0.44,0.8440000000000001,596.0,258.0,35.0,6.0,102.0,1815000.0,182.88,79.3786,81.0,5.9,57700000
2010,JaVale McGee,22.0,0.508,0.638,386.0,14.0,16.0,101.0,51.0,1601040.0,213.36,114.30518400000001,79.0,-4.4,57700000
2010,Jamal Crawford,29.0,0.449,0.857,1425.0,238.0,61.0,12.0,137.0,10800000.0,195.58,90.7184,76.0,-1.3,57700000
2010,Jamario Moon,29.0,0.462,0.8,296.0,49.0,34.0,30.0,23.0,3000000.0,203.2,92.98635999999999,59.0,-6.5,57700000
2010,Jameer Nelson,27.0,0.449,0.845,818.0,353.0,48.0,2.0,139.0,7800000.0,182.88,86.18248,76.0,7.5,57700000
2010,James Harden,20.0,0.40299999999999997,0.8079999999999999,753.0,137.0,80.0,20.0,106.0,4304520.0,195.58,99.79024,82.0,5.7,57700000
2010,James Johnson,22.0,0.452,0.7290000000000001,256.0,48.0,21.0,43.0,62.0,1713600.0,205.74,111.13004,38.0,-3.1,57700000
2010,James Jones,29.0,0.361,0.821,146.0,17.0,11.0,4.0,11.0,1146337.0,203.2,97.52228000000001,81.0,8.6,57700000
2010,James Posey,33.0,0.365,0.825,399.0,117.0,42.0,19.0,51.0,7148800.0,203.2,98.429464,49.0,-3.7,57700000
2010,Jared Dudley,24.0,0.45899999999999996,0.754,674.0,115.0,81.0,16.0,68.0,2151068.0,200.66,102.0582,82.0,-0.2,57700000
2010,Jared Jeffries,28.0,0.437,0.6086666666666667,248.0,67.33333333333333,41.333333333333336,47.333333333333336,50.666666666666664,221136.0,210.82,108.86208,42.0,11.0,57700000
2010,Jarrett Jack,26.0,0.48100000000000004,0.8420000000000001,931.0,413.0,60.0,6.0,163.0,4600000.0,190.5,89.357624,83.0,-5.6,57700000
2010,Jason Kapono,28.0,0.419,0.6,324.0,39.0,21.0,6.0,34.0,6641440.0,203.2,97.52228000000001,24.0,7.6,57700000
2010,Jason Kidd,36.0,0.423,0.8079999999999999,824.0,724.0,145.0,35.0,195.0,8610500.0,193.04,95.25432,80.0,3.7,57700000
2010,Jason Maxiell,26.0,0.511,0.574,513.0,39.0,36.0,38.0,68.0,5000000.0,200.66,117.93392,57.0,-6.5,57700000
2010,Jason Richardson,29.0,0.474,0.7390000000000001,1239.0,143.0,66.0,33.0,92.0,14444443.0,198.12,102.0582,80.0,5.3,57700000
2010,Jason Smith,23.0,0.431,0.69,189.0,33.0,21.0,28.0,35.0,2187913.0,213.36,108.86208,77.0,0.9,57700000
2010,Jason Terry,32.0,0.43799999999999994,0.866,1280.0,292.0,94.0,17.0,109.0,9873000.0,187.96,81.64656,82.0,6.4,57700000
2010,Jason Thompson,23.0,0.47200000000000003,0.715,939.0,124.0,41.0,73.0,139.0,2178000.0,210.82,113.398,75.0,-3.9,57700000
2010,Jason Williams,34.0,0.444,0.7559999999999999,493.0,298.0,53.0,3.0,87.0,524964.0,185.42,81.64656,27.0,9.9,57700000
2010,Jawad Williams,26.0,0.39299999999999996,0.711,224.0,34.0,12.0,5.0,18.0,1029389.0,205.74,102.0582,26.0,-12.5,57700000
2010,Jeff Foster,33.0,0.478,0.556,49.0,21.0,3.0,4.0,14.0,6655000.0,210.82,113.398,56.0,3.3,57700000
2010,Jeff Green,23.0,0.45299999999999996,0.74,1239.0,134.0,104.0,72.0,135.0,4455988.0,205.74,106.59411999999999,75.0,1.3,57700000
2010,Jeff Teague,21.0,0.396,0.8370000000000001,228.0,122.0,34.0,11.0,50.0,1476840.0,187.96,81.64656,70.0,-2.7,57700000
2010,Jermaine Taylor,23.0,0.37799999999999995,0.7170000000000001,128.0,16.0,10.0,3.0,19.0,780871.0,193.04,95.25432,34.0,-10.1,57700000
2010,Jerryd Bayless,21.0,0.414,0.831,630.0,172.0,26.0,5.0,94.0,2292600.0,190.5,90.7184,71.0,-8.9,57700000
2010,Joakim Noah,24.0,0.504,0.7440000000000001,687.0,132.0,32.0,100.0,117.0,3128536.0,210.82,105.23334399999999,48.0,5.8,57700000
2010,Jodie Meeks,22.0,0.39666666666666667,0.7913333333333333,187.33333333333334,26.0,12.0,3.3333333333333335,16.666666666666668,762195.0,193.04,94.34713599999999,74.0,2.0,57700000
2010,Joe Johnson,28.0,0.45799999999999996,0.818,1619.0,369.0,82.0,5.0,145.0,16324500.0,200.66,108.86208,72.0,0.6,57700000
2010,Joel Anthony,27.0,0.478,0.7170000000000001,218.0,12.0,20.0,109.0,45.0,3300000.0,205.74,111.13004,75.0,7.8,57700000
2010,Joel Przybilla,30.0,0.523,0.647,123.0,8.0,8.0,43.0,39.0,7725470.0,215.9,111.13004,36.0,-8.1,57700000
2010,Joey Graham,27.0,0.52,0.74,266.0,22.0,23.0,7.0,43.0,992680.0,200.66,104.32616,39.0,-9.4,57700000
2010,Johan Petro,24.0,0.535,0.667,122.0,14.0,10.0,13.0,23.0,3250000.0,213.36,112.037224,77.0,-6.4,57700000
2010,John Salmons,30.0,0.4426666666666667,0.8286666666666666,830.0,148.66666666666666,66.0,17.333333333333332,82.0,8000000.0,198.12,93.89354399999999,73.0,-1.5,57700000
2010,Jon Brockman,22.0,0.534,0.597,147.0,22.0,15.0,5.0,23.0,1000000.0,200.66,115.66596000000001,63.0,2.1,57700000
2010,Jonny Flynn,20.0,0.41700000000000004,0.826,1094.0,356.0,82.0,2.0,233.0,3192000.0,182.88,83.91452,53.0,-9.4,57700000
2010,Jordan Farmar,23.0,0.435,0.6709999999999999,591.0,127.0,52.0,11.0,72.0,3750000.0,187.96,81.64656,73.0,-7.0,57700000
2010,Jordan Hill,22.0,0.49033333333333334,0.6833333333333335,162.66666666666666,13.333333333333334,9.333333333333334,14.0,20.0,2669520.0,208.28,106.59411999999999,72.0,-6.6,57700000
2010,Jose Calderon,28.0,0.48200000000000004,0.7979999999999999,699.0,404.0,47.0,7.0,99.0,9000000.0,190.5,95.25432,68.0,-5.3,57700000
2010,Josh McRoberts,22.0,0.521,0.5,179.0,44.0,17.0,16.0,19.0,885120.0,208.28,108.86208,72.0,2.5,57700000
2010,Josh Smith,24.0,0.505,0.618,1269.0,342.0,130.0,172.0,198.0,11700000.0,205.74,108.86208,77.0,1.8,57700000
2010,Jrue Holiday,19.0,0.442,0.7559999999999999,587.0,280.0,79.0,18.0,156.0,1627920.0,193.04,81.64656,82.0,2.8,57700000
2010,Julian Wright,22.0,0.5,0.61,259.0,41.0,29.0,18.0,44.0,2858057.0,203.2,102.0582,52.0,-1.0,57700000
2010,Keith Bogans,29.0,0.40299999999999997,0.74,347.0,95.0,45.0,12.0,53.0,1600000.0,195.58,97.52228000000001,82.0,5.7,57700000
2010,Kendrick Perkins,25.0,0.602,0.5820000000000001,791.0,80.0,26.0,132.0,165.0,6696720.0,208.28,127.00576000000001,29.0,6.9,57700000
2010,Kenyon Martin,32.0,0.456,0.557,667.0,109.0,72.0,61.0,91.0,16545454.0,205.74,108.86208,48.0,7.9,57700000
2010,Kevin Durant,21.0,0.47600000000000003,0.9,2472.0,231.0,112.0,84.0,271.0,6053663.0,205.74,104.32616,78.0,4.7,57700000
2010,Kevin Garnett,33.0,0.521,0.8370000000000001,990.0,185.0,68.0,57.0,101.0,18832044.0,210.82,114.758776,71.0,13.1,57700000
2010,Kevin Love,21.0,0.45,0.815,842.0,136.0,43.0,23.0,117.0,3638280.0,208.28,117.93392,73.0,-6.0,57700000
2010,Kevin Martin,26.0,0.4166666666666667,0.8729999999999999,630.6666666666666,74.0,30.666666666666668,4.0,61.333333333333336,10600005.0,200.66,83.91452,80.0,2.8,57700000
2010,Keyon Dooling,29.0,0.39799999999999996,0.77,364.0,135.0,34.0,0.0,59.0,2080000.0,190.5,88.45044,80.0,3.4,57700000
2010,Kirk Hinrich,29.0,0.409,0.752,805.0,330.0,85.0,24.0,113.0,9100000.0,193.04,86.18248,72.0,-9.5,57700000
2010,Kobe Bryant,31.0,0.456,0.8109999999999999,1970.0,365.0,113.0,20.0,233.0,24806250.0,198.12,92.98635999999999,82.0,7.7,57700000
2010,Kosta Koufos,20.0,0.46799999999999997,0.6,53.0,6.0,2.0,4.0,15.0,1298640.0,213.36,120.20188,50.0,-6.1,57700000
2010,Kris Humphries,24.0,0.445,0.6449999999999999,324.6666666666667,21.333333333333332,24.0,32.0,44.0,3200000.0,205.74,106.59411999999999,74.0,-5.3,57700000
2010,Kurt Thomas,37.0,0.47600000000000003,0.8,210.0,47.0,26.0,46.0,48.0,1800000.0,205.74,104.32616,52.0,6.8,57700000
2010,Kyle Korver,28.0,0.493,0.7959999999999999,374.0,89.0,26.0,12.0,42.0,5000000.0,200.66,96.16150400000001,82.0,8.6,57700000
2010,Kyle Lowry,23.0,0.397,0.8270000000000001,620.0,305.0,60.0,9.0,116.0,5750000.0,182.88,92.98635999999999,75.0,5.0,57700000
2010,Kyle Weaver,23.0,0.364,0.833,36.0,11.0,6.0,6.0,4.0,854389.0,198.12,91.171992,5.0,2.8,57700000
