season,player,salary
2018-2019,Georges Niang,1512601
2018-2019,Willy Hernangomez,1496500
2018-2019,Sviatoslav Mykhailiuk,1487694
2018-2019,Mitchell Robinson,1485440
2018-2019,Michael Carter-Williams,1468082
2018-2019,Jawun Evans,1455492
2018-2019,Sindarius Thornwell,1378242
2018-2019,Ivan Rabb,1378242
2018-2019,Damyean Dotson,1378242
2018-2019,Frank Mason,1378242
2018-2019,Royce O'Neale,1378242
2018-2019,Semi Ojeleye,1378242
2018-2019,Daniel Theis,1378242
2018-2019,Dwayne Bacon,1378242
2018-2019,Maxi Kleber,1378242
2018-2019,Jordan Bell,1378242
2018-2019,Zhou Qi,1378242
2018-2019,Dillon Brooks,1378242
2018-2019,Tyler Dorsey,1378242
2018-2019,Dakari Johnson,1378242
2018-2019,Rade Zagorac,1378242
2018-2019,Sterling Brown,1378242
2018-2019,Frank Jackson,1378242
2018-2019,Abdel Nader,1378242
2018-2019,Khem Birch,1378242
2018-2019,Wesley Iwundu,1378242
2018-2019,Thomas Bryant,1378242
2018-2019,Jabari Bird,1349383
2018-2019,Antonio Blakeney,1349383
2018-2019,Monte Morris,1349383
2018-2019,Alfonzo McKinnie,1349383
2018-2019,Tyrone Wallace,1349383
2018-2019,Daniel Hamilton,1349383
2018-2019,Ryan Arcidiacono,1349383
2018-2019,Ike Anigbogu,1349383
2018-2019,Shaquille Harrison,1325531
2018-2019,Elie Okobo,1238464
2018-2019,Jalen Brunson,1230000
2018-2019,Melvin Frazier,1050000
2018-2019,Raymond Spalding,1023210
2018-2019,Isaac Bonga,1000000
2018-2019,Justin Hamilton,1000000
2018-2019,Devonte Graham,988464
2018-2019,Chasson Randle,975824
2018-2019,Patrick McCaw,964104
2018-2019,De'Anthony Melton,949000
2018-2019,Jason Thompson,893333
2018-2019,Ryan Broekhoff,838464
2018-2019,Jarred Vanderbilt,838464
2018-2019,Bruce Brown,838464
2018-2019,Khyri Thomas,838464
2018-2019,Isaiah Hartenstein,838464
2018-2019,Alize Johnson,838464
2018-2019,Keita Bates-Diop,838464
2018-2019,Kenrich Williams,838464
2018-2019,Hamidou Diallo,838464
2018-2019,Gary Trent Jr,838464
2018-2019,Chimezie Metu,838464
2018-2019,Brad Wanamaker,838464
2018-2019,Jevon Carter,838464
2018-2019,Isaiah Briscoe,838464
2018-2019,Lorenzo Brown,800000
2018-2019,Davon Reed,752250
2018-2019,Isaiah Canaan,744671
2018-2019,Isaiah Whitehead,726390
2018-2019,Bruno Caboclo,705361
2018-2019,Gary Clark,674122
2018-2019,James Nunnally,663255
2018-2019,Kalin Lucas,648008
2018-2019,John Jenkins,585809
2018-2019,Deonte Burton,500000
2018-2019,Andrew Bogut,486892
2018-2019,Chris Boucher,457418
2018-2019,Malcolm Miller,457418
2018-2019,Edmond Sumner,449794
2018-2019,Yante Maten,385000
2018-2019,Andrew Harrison,354500
2018-2019,Eric Moreland,309859
2018-2019,Nick Young,284020
2018-2019,Danuel House,247827
2018-2019,Okaro White,247827
2018-2019,Jaylen Adams,236854
2018-2019,Ben Moore,222099
2018-2019,Tyler Zeller,213948
2018-2019,Quincy Acy,213948
2018-2019,Terrence Jones,198579
2018-2019,Jimmer Fredette,198579
2018-2019,Dairis Bertans,194220
2018-2019,Walter Lemon Jr,176250
2018-2019,Demetrius Jackson,170107
2018-2019,BJ Johnson,142111
2018-2019,Chris Chiozza,137374
2018-2019,Johnathan Williams,127250
2018-2019,Cam Reynolds,108953
2018-2019,Donatas Motiejunas,99289
2018-2019,Justin Bibbs,92159
2018-2019,JaKarr Sampson,85457
2018-2019,Gary Payton II,85457
2018-2019,Alex Poythress,77250
2018-2019,PJ Dozier,77250
2018-2019,RJ Hunter,77250
2018-2019,Theo Pinson,77250
2018-2019,Alan Williams,77250
2018-2019,Joe Chealey,77250
2018-2019,JP Macura,77250
2018-2019,Rawle Alkins,77250
2018-2019,Brandon Sampson,77250
2018-2019,Tyler Ulis,77250
2018-2019,Deng Adel,77250
2018-2019,Jaron Blossomgame,77250
2018-2019,John Holland,77250
2018-2019,Jalen Jones,77250
2018-2019,Billy Preston,77250
2018-2019,Kostas Antetokounmpo,77250
2018-2019,Daryl Macon,77250
2018-2019,DeVaughn Akoon-Purcell,77250
2018-2019,Archie Goodwin,77250
2018-2019,Thomas Welsh,77250
2018-2019,Keenan Evans,77250
2018-2019,Zach Lofton,77250
2018-2019,Marcus Derrickson,77250
2018-2019,Damion Lee,77250
2018-2019,Trevon Duval,77250
2018-2019,Vincent Edwards,77250
2018-2019,Angel Delgado,77250
2018-2019,Johnathan Motley,77250
2018-2019,Alex Caruso,77250
2018-2019,DJ Stephens,77250
2018-2019,Jarnell Stokes,77250
2018-2019,Julian Washburn,77250
2018-2019,Yuta Watanabe,77250
2018-2019,Duncan Robinson,77250
2018-2019,Bonzie Colson,77250
2018-2019,Jaylen Morris,77250
2018-2019,Jared Terrell,77250
2018-2019,CJ Williams,77250
2018-2019,Trevon Bluiett,77250
2018-2019,Kadeem Allen,77250
2018-2019,Isaiah Hicks,77250
2018-2019,Tyler Davis,77250
2018-2019,Donte Grantham,77250
2018-2019,Troy Caupain,77250
2018-2019,Amile Jefferson,77250
2018-2019,Haywood Highsmith,77250
2018-2019,Shake Milton,77250
2018-2019,George King,77250
2018-2019,Troy Williams,77250
2018-2019,Drew Eubanks,77250
2018-2019,Jordan Loyd,77250
2018-2019,Tyler Cavanaugh,77250
2018-2019,Naz Long,77250
2018-2019,Jordan McRae,77250
2018-2019,Devin Robinson,77250
2018-2019,Kobi Simmons,76236
2018-2019,Andre Ingram,76236
2018-2019,Scott Machado,76236
2018-2019,Charles Cooke,76236
2018-2019,Scotty Hopson,76236
2018-2019,Wenyen Gabriel,75000
2018-2019,Billy Garrett,67370
2018-2019,Brandon Goodwin,56845
2018-2019,Mitch Creek,56845
2018-2019,Jemerrio Jones,52170
2018-2019,Isaac Humphries,47370
2018-2019,Jordan Sibert,47370
2018-2019,Mitchell Creek,47370
2018-2019,Tahjere McCall,47370
2018-2019,Michael Frazier,47370
2018-2019,Stephan hicks,47370
2018-2019,Dusty Hannahs,47370
2018-2019,Kendrick Nunn,47370
2018-2019,Emanuel Terry,47370
2018-2019,Richard Solomon,47370
2018-2019,Cody Demps,47370
2018-2019,Tarik Phillip,47370
