Year,Name,Age,Salary%,PER,USG%,Predicted Salary%,Residuals
2012,Amar'e Stoudemire,29.0,34.36840844876301,17.7,25.4,16.900045108704305,17.46836334005871
2010,Andrei Kirilenko,28.0,30.889081455805893,18.2,17.7,13.383443744358992,17.5056377114469
2010,Kobe Bryant,31.0,42.991767764298096,21.9,32.3,25.353858167078606,17.63790959721949
2015,Kobe Bryant,36.0,39.64163957821295,17.6,34.9,21.68365884871666,17.957980729496292
2016,Chandler Parsons,27.0,31.595357142857146,16.2,20.5,13.517279697701717,18.07807744515543
2015,Dwight Howard,29.0,35.45447395544279,19.2,23.3,17.307706419128976,18.146767536313817
2011,Kevin Garnett,34.0,36.605065123010135,20.6,22.3,18.224444639274367,18.38062048373577
2014,Chris Bosh,29.0,35.18192198231054,19.0,22.6,16.38964774427083,18.79227423803971
2016,Al Horford,29.0,37.91442857142857,19.4,20.6,19.106654088922504,18.80777448250607
2011,Kobe Bryant,32.0,43.49199400454828,23.9,35.1,24.446869511253432,19.04512449329485
2010,Nick Collison,29.0,22.99826689774697,13.1,12.1,3.795290270870775,19.202976626876193
2013,Dirk Nowitzki,34.0,39.14509854593067,19.8,24.2,19.730575264448568,19.414523281482104
2014,Derrick Rose,25.0,32.14587160653726,9.7,31.5,12.58187550142368,19.56399610511358
2016,Allen Crabbe,23.0,26.42857142857143,12.2,16.4,6.2182932901461365,20.210278138425295
2014,Deron Williams,29.0,33.66530615722831,17.6,21.8,13.264601966562351,20.400704190665955
2010,Michael Redd,30.0,31.7157712305026,12.1,23.7,10.763915924788872,20.95185530571373
2013,Joe Johnson,31.0,36.983526290400384,14.1,21.7,15.639439118244681,21.344087172155703
2015,Paul George,24.0,27.146762863712038,13.0,32.8,4.947363135637712,22.199399728074326
2016,Mike Conley,28.0,37.91442857142857,19.4,22.4,15.65147290158436,22.262955669844214
2010,Rashard Lewis,30.0,33.92324263431543,14.0,19.4,11.122825118428217,22.80041751588721
2014,Joe Johnson,32.0,39.504405323880775,15.5,22.3,14.925493882175829,24.578911441704946
2013,Kobe Bryant,34.0,52.46675797670733,23.0,31.9,26.676948411466512,25.789809565240816
2012,Kobe Bryant,33.0,52.46675797670733,21.9,35.7,26.577883563872994,25.888874412834333
2011,Rashard Lewis,31.0,36.41484218868445,11.933333333333332,17.666666666666668,9.491311169415,26.923531019269454
2014,Kobe Bryant,35.0,40.048398916136954,10.7,28.7,8.19496711288321,31.85343180325374
