,Year,Name,Salary%,Physical Cluster,Reg Performance Cluster,Adv Performance Cluster,Pos,Tm
92,2010,DeShawn Stevenson,7.195469670710572,0,1,2,SG,DAL
93,2010,Derek Fisher,6.412478336221838,0,2,1,PG,LAL
94,2010,Deron Williams,25.892812824956675,0,3,1,PG,UTA
95,2010,Derrick Brown,1.3209618717504332,1,1,2,SF,CHA
96,2010,Derrick Rose,9.612062391681107,0,3,2,PG,CHI
97,2010,Devin Harris,15.564991334488735,0,0,1,PG,NJN
98,2010,Dirk Nowitzki,29.945611785095323,1,3,0,PF,DAL
99,2010,Donte Greene,1.6129982668977467,1,2,0,SF,SAC
100,2010,Dorell Wright,6.135181975736568,0,1,0,SF,MIA
101,2010,Drew Gooden,9.991334488734834,1,2,2,C-PF,TOT
102,2010,Drew Gooden,9.991334488734834,1,2,2,C,DAL
103,2010,Drew Gooden,9.991334488734834,1,2,2,PF,LAC
104,2010,Dwight Howard,28.85126516464471,1,0,2,C,ORL
105,2010,Dwyane Wade,24.610051993067593,0,3,1,SG,MIA
106,2010,Earl Clark,3.2907452339688037,1,1,2,PF,PHO
107,2010,Eddie House,2.343467937608319,0,1,0,PG-SG,TOT
108,2010,Eddie House,2.343467937608319,0,1,0,PG,BOS
109,2010,Eddie House,2.343467937608319,0,1,0,SG,NYK
110,2010,Eduardo Najera,5.1993067590987865,1,1,2,PF,TOT
111,2010,Eduardo Najera,5.1993067590987865,1,1,2,PF,NJN
112,2010,Eduardo Najera,5.1993067590987865,1,1,2,PF,DAL
113,2010,Elton Brand,27.65875043327557,1,0,2,PF,PHI
114,2010,Eric Gordon,5.228214904679376,0,0,1,SG,LAC
115,2010,Eric Maynor,2.457192374350087,0,1,2,PG,TOT
116,2010,Eric Maynor,2.457192374350087,0,1,2,PG,UTA
117,2010,Eric Maynor,2.457192374350087,0,1,2,PG,OKC
118,2010,Erick Dampier,1.2368561525129984,1,1,2,C,DAL
119,2010,Ersan Ilyasova,4.021663778162911,1,2,1,PF,MIL
120,2010,Francisco Garcia,9.532062391681107,0,2,2,SG,SAC
121,2010,Garrett Temple,0.13986655112651647,0,1,2,SG,TOT
122,2010,Garrett Temple,0.13986655112651647,0,1,2,SG,HOU
123,2010,Garrett Temple,0.13986655112651647,0,1,2,SG,SAC
124,2010,Garrett Temple,0.13986655112651647,0,1,2,SG,SAS
125,2010,Gerald Henderson,3.6461698440207977,0,1,2,SG,CHA
126,2010,Gerald Wallace,18.19757365684575,1,0,0,SF,CHA
127,2010,Gilbert Arenas,30.72910571923744,0,3,0,PG,WAS
128,2010,Glen Davis,5.199313691507799,1,1,2,PF,BOS
129,2010,Goran Dragic,3.4176776429809363,0,2,1,PG,PHO
130,2010,Grant Hill,5.6152512998266895,1,2,0,SF,PHO
131,2010,Hakim Warrick,7.365684575389947,1,2,2,PF,TOT
132,2010,Hakim Warrick,7.365684575389947,1,2,2,PF,MIL
133,2010,Hakim Warrick,7.365684575389947,1,2,2,PF,CHI
134,2010,Hamed Haddadi,2.772963604852686,1,1,2,C,MEM
135,2010,Hedo Turkoglu,17.705112651646445,1,2,1,SF,TOR
136,2010,Ime Udoka,1.2281455805892547,0,1,0,SG,SAC
137,2010,J.J. Barea,3.1455805892547657,0,2,0,PG,DAL
138,2010,JaVale McGee,2.77476603119584,1,1,2,C,WAS
139,2010,Jamal Crawford,18.717504332755638,0,0,3,SG,ATL
140,2010,Jamario Moon,5.1993067590987865,0,1,0,SF,CLE
141,2010,Jameer Nelson,13.518197573656845,0,0,1,PG,ORL
142,2010,James Harden,7.4601733102253025,0,2,1,SG,OKC
143,2010,James Johnson,2.969844020797227,1,1,2,PF,CHI
144,2010,James Jones,1.986719237435009,1,1,0,SF,MIA
145,2010,James Posey,12.389601386481802,1,1,1,SF,NOH
146,2010,Jared Dudley,3.7280207972270363,1,2,1,SF,PHO
147,2010,Jared Jeffries,0.38325129982668976,1,1,2,PF-SF,TOT
148,2010,Jared Jeffries,0.38325129982668976,1,1,2,PF,NYK
149,2010,Jared Jeffries,0.38325129982668976,1,1,2,SF,HOU
150,2010,Jarrett Jack,7.972270363951473,0,2,1,PG,TOR
151,2010,Jason Kapono,11.510294627383015,1,1,0,SF,PHI
152,2010,Jason Kidd,14.922876949740035,0,2,3,PG,DAL
153,2010,Jason Maxiell,8.665511265164643,1,2,2,C,DET
154,2010,Jason Richardson,25.03369670710572,1,0,3,SG,PHO
155,2010,Jason Smith,3.791876949740035,1,1,2,PF,PHI
156,2010,Jason Terry,17.110918544194107,0,0,3,SG,DAL
157,2010,Jason Thompson,3.7746967071057203,1,0,2,C,SAC
158,2010,Jason Williams,0.9098162911611783,0,1,1,PG,ORL
159,2010,Jawad Williams,1.7840363951473135,1,1,0,PG,CLE
160,2010,Jeff Foster,11.53379549393414,1,1,2,C,IND
161,2010,Jeff Green,7.722682842287695,1,0,1,PF,OKC
162,2010,Jeff Teague,2.559514731369151,0,1,2,PG,ATL
163,2010,Jermaine Taylor,1.3533292894280762,0,1,2,SG,HOU
164,2010,Jerryd Bayless,3.9733102253032926,0,2,0,SG,POR
165,2010,Jodie Meeks,1.3209618717504332,0,1,0,SG,TOT
166,2010,Jodie Meeks,1.3209618717504332,0,1,0,SG,MIL
167,2010,Jodie Meeks,1.3209618717504332,0,1,0,SG,PHI
168,2010,Joe Johnson,28.29202772963605,1,3,3,SG,ATL
169,2010,Joey Graham,1.720415944540728,1,1,2,SF,DEN
170,2010,Johan Petro,5.632582322357018,1,1,2,C,DEN
171,2010,John Salmons,13.864818024263432,0,0,1,SG,TOT
172,2010,John Salmons,13.864818024263432,0,0,1,SG,CHI
173,2010,John Salmons,13.864818024263432,0,0,1,SG,MIL
174,2010,Jonny Flynn,5.532062391681111,0,0,1,PG,MIN
175,2010,Jordan Farmar,6.4991334488734855,0,1,1,PG,LAL
176,2010,Jordan Hill,4.626551126516464,1,1,2,PF,TOT
177,2010,Jordan Hill,4.626551126516464,1,1,2,PF,NYK
178,2010,Jordan Hill,4.626551126516464,1,1,2,PF,HOU
179,2010,Jose Calderon,15.59792027729636,0,2,0,PG,TOR
180,2010,Josh McRoberts,1.534003466204506,1,1,2,C,IND
181,2010,Josh Smith,20.27729636048527,1,0,2,PF,ATL
182,2010,Jrue Holiday,2.821351819757365,0,2,0,PG,PHI
183,2010,Julian Wright,4.953305025996533,1,1,2,SF,NOH
184,2010,Keith Bogans,2.772963604852686,0,1,1,SF,SAS
185,2010,Kendrick Perkins,11.606100519930674,1,2,2,C,BOS
186,2010,Kenyon Martin,28.674963604852692,1,0,2,PF,DEN
187,2010,Kevin Durant,10.49161698440208,1,3,3,SF,OKC
188,2010,Kevin Garnett,32.63785788561525,1,0,2,PF,BOS
189,2010,Kevin Love,6.305511265164642,1,0,0,PF,MIN
190,2010,Kevin Martin,18.370892547660308,0,3,0,SG,TOT
191,2010,Kevin Martin,18.370892547660308,0,3,0,SG,SAC
192,2010,Kevin Martin,18.370892547660308,0,3,0,SG,HOU
193,2010,Keyon Dooling,3.604852686308492,0,1,0,PG,NJN
194,2010,Kirk Hinrich,15.771230502599654,0,2,1,SG,CHI
195,2010,Kobe Bryant,42.991767764298096,0,3,1,SG,LAL
196,2010,Kris Humphries,5.545927209705372,1,2,2,PF,TOT
197,2010,Kris Humphries,5.545927209705372,1,2,2,PF,DAL
198,2010,Kris Humphries,5.545927209705372,1,2,2,PF,NJN
199,2010,Kyle Korver,8.665511265164643,0,1,0,SG,UTA
200,2010,Kyle Lowry,9.965337954939342,0,2,0,PG,HOU
201,2010,Kyle Weaver,1.4807435008665513,0,1,2,SG,OKC
202,2010,Kyrylo Fesenko,1.8847487001733103,1,1,2,C,UTA
203,2010,LaMarcus Aldridge,19.487001733102254,1,3,2,PF,POR
204,2010,Lamar Odom,14.211438474870016,1,2,0,PF,LAL
205,2010,LeBron James,25.12998266897747,1,3,3,SF,CLE
206,2010,Leandro Barbosa,12.305025996533795,0,2,0,PG,PHO
207,2010,Lester Hudson,0.8935927209705372,0,1,2,PG,TOT
208,2010,Lester Hudson,0.8935927209705372,0,1,2,PG,BOS
209,2010,Lester Hudson,0.8935927209705372,0,1,2,PG,MEM
210,2010,Lou Amundson,3.856152512998267,1,1,2,PF,PHO
211,2010,Luis Scola,13.475525129982667,1,0,2,PF,HOU
212,2010,Luke Ridnour,6.932409012131716,0,2,0,PG,MIL
213,2010,Luke Walton,9.116117850953207,1,1,2,SF,LAL
214,2010,Luol Deng,19.662045060658574,1,3,0,SF,CHI
215,2010,Manu Ginobili,20.545206239168113,0,0,3,SG,SAS
216,2010,Marc Gasol,6.192951473136915,1,0,2,C,MEM
217,2010,Marcin Gortat,10.95722703639515,1,1,2,C,ORL
218,2010,Marco Belinelli,4.12525129982669,0,1,0,SG,TOR
219,2010,Marcus Banks,8.401362218370883,0,1,2,PG,TOR
220,2010,Marcus Camby,20.363660311958405,1,2,2,PF-C,TOT
221,2010,Marcus Camby,20.363660311958405,1,2,2,PF,LAC
222,2010,Marcus Camby,20.363660311958405,1,2,2,C,POR
223,2010,Mario Chalmers,1.4807435008665513,0,1,1,PG,MIA
224,2010,Mario West,0.034840554592720965,0,1,2,SG,ATL
225,2010,Marquis Daniels,4.138648180242634,0,1,2,SF,BOS
226,2010,Marreese Speights,3.074454072790295,1,2,2,C,PHI
227,2010,Martell Webster,8.31889081455806,1,2,3,SF,POR
228,2010,Marvin Williams,12.586655112651643,1,2,0,SF,ATL
229,2010,Matt Barnes,3.0589254766031195,1,2,1,SF,ORL
230,2010,Matt Bonner,5.285961871750433,1,1,1,PF,SAS
231,2010,Matt Carroll,7.452339688041594,0,1,2,SG,DAL
232,2010,Maurice Evans,4.332755632582321,0,1,0,SF,ATL
233,2010,Mehmet Okur,17.23570190641248,1,0,1,C,UTA
234,2010,Michael Beasley,8.600069324090121,1,0,0,PF,MIA
235,2010,Michael Redd,31.7157712305026,0,0,2,SG,MIL
236,2010,Mickael Pietrus,9.185441941074524,0,2,1,SF,ORL
237,2010,Mike Bibby,0.3745407279029463,0,2,3,PG,ATL
238,2010,Mike Conley,8.514864818024263,0,0,1,PG,MEM
239,2010,Mike Dunleavy,18.304998266897744,1,2,1,SF,IND
240,2010,Mo Williams,16.11785095320624,0,0,3,PG,CLE
241,2010,Monta Ellis,19.06412478336221,0,3,1,SG,GSW
242,2010,Morris Peterson,11.551126516464471,1,1,0,SG,NOH
243,2010,Nate Robinson,7.2790294627383005,0,2,0,PG,TOT
244,2010,Nate Robinson,7.2790294627383005,0,2,0,PG,NYK
245,2010,Nate Robinson,7.2790294627383005,0,2,0,PG,BOS
246,2010,Nenad Krstic,9.606786828422877,1,2,2,C,OKC
247,2010,Nick Collison,22.99826689774697,1,1,2,C,OKC
248,2010,Nick Young,4.558930675909878,0,2,0,SG,WAS
249,2010,Nicolas Batum,2.074107452339688,0,2,0,SF,POR
250,2010,O.J. Mayo,7.723050259965338,0,0,3,SG,MEM
251,2010,Omri Casspi,2.1741421143847486,1,2,1,SF,SAC
252,2010,Patty Mills,1.6242547660311957,0,1,2,PG,POR
253,2010,Pau Gasol,30.889081455805893,1,3,2,C,LAL
254,2010,Paul Millsap,13.17157712305026,1,2,2,PF,UTA
255,2010,Paul Pierce,24.049083188908142,1,0,1,SF,BOS
256,2010,Peja Stojakovic,0.6968197573656846,1,2,3,SF,NOH
257,2010,Quentin Richardson,3.925476603119584,1,2,3,SF,MIA
258,2010,Quinton Ross,1.790887348353553,0,1,2,SF-SG,TOT
259,2010,Quinton Ross,1.790887348353553,0,1,2,SF,DAL
260,2010,Quinton Ross,1.790887348353553,0,1,2,SG,WAS
261,2010,Raja Bell,5.1993067590987865,0,2,2,SG,TOT
262,2010,Raja Bell,5.1993067590987865,0,2,2,SG,CHA
263,2010,Raja Bell,5.1993067590987865,0,2,2,SG,GSW
264,2010,Rajon Rondo,15.755478336221836,0,0,0,PG,BOS
265,2010,Ramon Sessions,6.8705719237434995,0,2,2,PG,MIN
266,2010,Randy Foye,7.365684575389947,0,2,0,PG,WAS
267,2010,Rashard Lewis,33.92324263431543,1,0,3,PF,ORL
268,2010,Rasual Butler,0.3658301559792028,0,2,3,SF,LAC
269,2010,Ray Allen,17.33102253032929,0,0,3,SG,BOS
270,2010,Raymond Felton,12.131715771230507,0,0,0,PG,CHA
271,2010,Renaldo Balkman,2.9029462738301564,0,1,2,SF,DEN
272,2010,Richard Hamilton,21.663778162911612,0,3,0,SG,DET
273,2010,Richard Jefferson,14.558058925476606,1,2,1,SF,SAS
274,2010,Rodney Stuckey,4.795712305025996,0,3,0,PG,DET
275,2010,Rodrigue Beaubois,2.0036048526863084,0,1,0,PG,DAL
276,2010,Ronnie Brewer,8.301559792027732,1,2,2,SG,TOT
