Year,Team,Notes,Name,Injury Class
2010,Bucks,sore back (DNP),Andrew Bogut,DNP
2010,Bucks,sore left ankle (DNP),Corey Maggette,DNP
2010,Bucks,plantar fasciitis in left foot (DNP),Drew Gooden,DNP
2010,Wizards,bruised right knee (P) / sore left knee (CBC) (DNP),John Wall,DNP
2010,Blazers,sprained right ankle (DNP),Sean Marks,DNP
2010,Clippers,strained left hamstring (DNP),Randy Foye,DNP
2010,Knicks,bruised right quadriceps (DNP),Toney Douglas,DNP
2010,Lakers,gastroenteritis (DNP),Devin Ebanks,DNP
2010,Raptors,swollen left knee (DNP),Predrag Stojakovic,DNP
2010,Raptors,broken right foot (DNP),Reggie Evans,DNP
2010,Bucks,sore back (DNP),Andrew Bogut,DNP
2010,Bucks,illness (DNP),Corey Maggette,DNP
2010,Bucks,left foot injury (DNP),Drew Gooden,DNP
2010,Wizards,bruised right knee (P) (DNP),John Wall,DNP
2010,Celtics,surgery to repair broken right wrist,Delonte West,Other
2010,Knicks,returned to lineup,Toney Douglas,returned to lineup
2010,Bucks,sore back (DNP),Andrew Bogut,DNP
2010,Raptors,swollen left knee (DNP),Predrag Stojakovic,DNP
2010,Hawks,arthroscopic surgery on right elbow to remove loose particle (out indefinitely),Joe Johnson,out indefinitely
2010,Hornets,stomach virus (DNP),David West,DNP
2010,Magic,stomach virus (DNP),Dwight Howard,DNP
2010,Magic,stomach virus (DNP),Jameer Nelson,DNP
2010,Raptors,swollen left knee (DNP),Predrag Stojakovic,DNP
2010,Magic,stomach virus (DNP),Jonathan Redick,DNP
2010,Magic,stomach virus (DNP),Dwight Howard,DNP
2010,Magic,stomach virus (DNP),Jonathan Redick,DNP
2010,Magic,stomach virus (DNP),Jameer Nelson,DNP
2010,Magic,sprained right foot (DNP),Ryan Anderson,DNP
2010,Timberwolves,sprained right ankle (DNP),Michael Beasley,DNP
2010,Celtics,strained hamstring (DNP),Rajon Rondo,DNP
2010,Raptors,sore/swollen left knee (DNP),Predrag Stojakovic,DNP
2010,Thunder,sprained right ankle (DTD),Dewayne White,DTD
2010,Warriors,sprained left foot (DTD),Rodney Carney,DTD
2010,Magic,stomach flu (DNP),Jameer Nelson,DNP
2010,Bucks,patella tendinitis in left foot (DNP),Drew Gooden,DNP
2010,Celtics,returned to lineup,Rajon Rondo,returned to lineup
2010,Jazz,sprained left ankle (DNP),Kyrylo Fesenko,DNP
2010,Nuggets,right knee inflammation (DNP),Carmelo Anthony,DNP
2010,Raptors,swollen left knee (DNP),Predrag Stojakovic,DNP
2010,Timberwolves,bruised right quadriceps (DNP),Darko Milicic,DNP
2010,Wizards,sore left foot (DNP),John Wall,DNP
2010,Celtics,sore right calf (P) / sore left knee (CBC) (DNP),Shaquille O'Neal,DNP
2010,Bobcats,quadriceps injury (DTD),Tyrus Thomas,DTD
2010,Hawks,illness (DTD),Zaur Pachulia,DTD
2010,Jazz,groin injury (DTD),Raja Bell,DTD
2010,Raptors,sore left foot (DTD),Jose Calderon,DTD
2010,Thunder,back injury (DTD),Nenad Krstic,DTD
2010,Thunder,returned to lineup,Dewayne White,returned to lineup
2010,Timberwolves,returned to lineup,Darko Milicic,returned to lineup
2010,Warriors,sprained right ankle (DTD),Stephen Curry,DTD
2010,Cavaliers,stomach virus (DTD),Ryan Hollins,DTD
2010,Jazz,sprained left ankle (DNP),Kyrylo Fesenko,DNP
2010,Jazz,strained right abductor (DNP),Raja Bell,DNP
2010,Nuggets,right knee patella tendinitis (DNP),Carmelo Anthony,DNP
2010,Raptors,swollen left knee (DNP),Predrag Stojakovic,DNP
2010,Magic,strained lower back (DNP),Chris Duhon,DNP
