Year,Team,Notes,Name,Injury Class
2012,Wizards,plantar fasciitis in left foot (DNP),Trevor Booker,DNP
2012,Clippers,flu-like symptoms (DNP),Reggie Evans,DNP
2012,Heat,DNP,Chris Bosh,Other
2012,Hornets,bruised left tibia (DNP),Chris Kaman,DNP
2012,Hornets,DNP (P),Trevor Ariza,Other
2012,Suns,recovering from surgery on right knee to repair torn meniscus (DNP),Grant Hill,DNP
2012,Timberwolves,strained right hamstring (DNP),Darko Milicic,DNP
2012,Timberwolves,concussion (DNP),Kevin Love,DNP
2012,Bobcats,right knee tendinitis (DNP),Darryl Augustine,DNP
2012,Bobcats,strained left Achilles tendon (DNP),DeSagana Diop,DNP
2012,Bobcats,concussion (DNP),Reggie Williams,DNP
2012,Bobcats,bruised right knee (DNP),Tyrus Thomas,DNP
2012,Cavaliers,sprained left ankle (DNP),Alonzo Gee,DNP
2012,Celtics,rest (DNP),Kevin Garnett,DNP
2012,Celtics,rest (DNP),Paul Pierce,DNP
2012,Celtics,sore lower back (DNP),Rajon Rondo,DNP
2012,Kings,sprained right ankle (DNP),Hassan Whiteside,DNP
2012,Kings,quadriceps injury (DNP),Marcus Thornton,DNP
2012,Magic,surgery on back to repair herniated disc (out for season),Dwight Howard,out for season
2012,Warriors,concussion (DNP),Andris Biedrins,DNP
2012,Warriors,strained groin (DNP),David Lee,DNP
2012,Blazers,bronchitis (DNP),Joel Przybilla,DNP
2012,Blazers,right hip injury (DNP),LaMarcus Aldridge,DNP
2012,Blazers,left quadriceps tendinitis (DNP),Nicolas Batum,DNP
2012,Bucks,strained right groin (DNP),Carlos Delfino,DNP
2012,Grizzlies,rest (DNP),Zach Randolph,DNP
2012,Heat,rest (DNP),Chris Bosh,DNP
2012,Heat,rest (DNP),LeBron James,DNP
2012,Jazz,strained gastrocnemius (DNP),Calvin Miles,DNP
2012,Jazz,knee injury (DNP),Earl Watson,DNP
2012,Magic,knee injury (DTD),Earl Clark,DTD
2012,Mavericks,rest (DNP),Jason Terry,DNP
2012,Nets,sore right calf (DNP),Deron Williams,DNP
2012,Nets,sore right groin (DNP),Jordan Farmar,DNP
2012,Nets,hyperextended right knee (DNP),Shelden Williams,DNP
2012,Suns,recovering from surgery on right knee to repair torn meniscus (DNP),Grant Hill,DNP
2012,Warriors,surgery on left ankle to clean out fragments and scar tissue (date approximate),Andrew Bogut,Other
2012,Warriors,concussion (DNP),Andris Biedrins,DNP
2012,Warriors,strained groin (DNP),David Lee,DNP
2012,Warriors,sprained right ankle (DNP),Dorell Wright,DNP
2012,Wizards,plantar fasciitis in left foot (DNP),Trevor Booker,DNP
2012,Bobcats,right knee tendinitis (DNP),Darryl Augustine,DNP
2012,Bobcats,left knee tendinitis (DNP),Reggie Williams,DNP
2012,Clippers,flu-like symptoms (DNP),Nick Young,DNP
2012,Heat,leg muscle fatigue (DNP),Chris Bosh,DNP
2012,Heat,dislocated left index finger (DNP),Dwyane Wade,DNP
2012,Heat,flu-like symptoms (DNP),Mario Chalmers,DNP
2012,Hornets,bruised left tibia (DNP),Chris Kaman,DNP
2012,Hornets,DNP (P),Trevor Ariza,Other
2012,Kings,sprained right ankle (DNP),Hassan Whiteside,DNP
2012,Knicks,rest (DNP),Tyson Chandler,DNP
2012,Nuggets,right knee injury (DNP),Al Harrington,DNP
2012,Raptors,right eye injury (DNP),Jose Calderon,DNP
2012,Rockets,hernia (out for season),Kyle Lowry,out for season
2012,Spurs,rest (DNP),Tim Duncan,DNP
2012,Timberwolves,strained right hamstring (DNP),Darko Milicic,DNP
2012,Timberwolves,concussion (DNP),Kevin Love,DNP
2012,Timberwolves,illness (DNP),Malcolm Lee,DNP
2012,Warriors,concussion (DNP),Andris Biedrins,DNP
2012,Warriors,strained groin (DNP),David Lee,DNP
2012,Blazers,right knee tendinitis (DNP),Jamal Crawford,DNP
2012,Blazers,bronchitis (DNP),Joel Przybilla,DNP
2012,Blazers,right hip injury (DNP),LaMarcus Aldridge,DNP
2012,Bucks,strained right groin (DNP),Carlos Delfino,DNP
2012,Nets,sore right calf (DNP),Deron Williams,DNP
2012,Nets,sore right groin (DNP),Jordan Farmar,DNP
2012,Nets,hyperextended right knee (DNP),Shelden Williams,DNP
2012,Pacers,sore left shoulder (DNP),George Hill,DNP
2012,Pacers,rest (DNP),Roy Hibbert,DNP
2012,Raptors,right eye injury (DNP),Jose Calderon,DNP
2012,Wizards,plantar fasciitis in left foot (DNP),Trevor Booker,DNP
2012,Celtics,sore right foot (DNP),Greg Stiemsma,DNP
2012,Celtics,hip flexor injury (DNP),Kevin Garnett,DNP
2012,Celtics,sore lower back (DNP),Rajon Rondo,DNP
2012,Heat,leg muscle fatigue (DNP),Chris Bosh,DNP
2012,Heat,dislocated left index finger (DNP),Dwyane Wade,DNP
2012,Heat,rest (DNP),LeBron James,DNP
2012,Hornets,bruised left tibia (DNP),Chris Kaman,DNP
2012,Hornets,rest (DNP),Eric Gordon,DNP
2012,Hornets,sprained left ankle (DNP),Jason Smith,DNP
2012,Hornets,DNP (P),Trevor Ariza,Other
2012,Jazz,knee injury (DNP),Earl Watson,DNP
2012,Kings,sprained right ankle (DNP),Hassan Whiteside,DNP
2012,Kings,quadriceps injury (DNP),Marcus Thornton,DNP
2012,Kings,illness (DNP),Terrence Williams,DNP
2012,Spurs,left shoulder injury (DTD),Gary Neal,DTD
2012,Suns,right shoulder injury (DNP),Channing Frye,DNP
2012,Warriors,concussion (DNP),Andris Biedrins,DNP
2012,Warriors,strained groin (DNP),David Lee,DNP
2012,76ers,rest (DNP),Andre Iguodala,DNP
2012,76ers,rest (DNP),Louis Williams,DNP
2012,76ers,rest (DNP),Thaddeus Young,DNP
2012,Bucks,strained right groin (DNP),Carlos Delfino,DNP
2012,Bucks,rest (DNP),Drew Gooden,DNP
2012,Bucks,right knee / thigh injury (DNP),Ersan Ilyasova,DNP
2012,Bucks,right hand injury (DNP),Monta Ellis,DNP
2012,Clippers,strained left groin (DNP),Chris Paul,DNP
2012,Pacers,stomach flu (DNP),Kyrylo Fesenko,DNP
2012,Pacers,sprained left ankle (DNP),Leandro Barbosa,DNP
2012,Spurs,rest (DNP),Emanuel Ginobili,DNP
2012,Spurs,left shoulder injury (DNP),Gary Neal,DNP
2012,Suns,right shoulder injury (DNP),Channing Frye,DNP
2012,Suns,recovering from surgery on right knee to repair torn meniscus (DNP),Grant Hill,DNP
2012,Warriors,arthroscopic surgery on right ankle (out for season),Stephen Curry,out for season
2012,Wizards,sprained right ankle (DNP),Jordan Crawford,DNP
2012,Wizards,plantar fasciitis in left foot (DNP),Trevor Booker,DNP
2012,76ers,rest (DNP),Andre Iguodala,DNP
2012,76ers,rest (DNP),Jrue Holiday,DNP
2012,76ers,rest (DNP),Louis Williams,DNP
2012,76ers,rest (DNP),Thaddeus Young,DNP
2012,Blazers,right knee tendinitis (DNP),Jamal Crawford,DNP
2012,Blazers,right hip injury (DNP),LaMarcus Aldridge,DNP
2012,Blazers,DNP,Raymond Felton,Other
2012,Bobcats,sprained right ankle (DNP),Derrick Brown,DNP
2012,Bobcats,left knee tendinitis (DNP),Reggie Williams,DNP
2012,Bucks,strained right groin (DNP),Carlos Delfino,DNP
2012,Bucks,rest (DNP),Drew Gooden,DNP
2012,Bucks,right knee injury (DNP),Ersan Ilyasova,DNP
2012,Bucks,right hand injury (DNP),Monta Ellis,DNP
2012,Bulls,rest (DNP),Derrick Rose,DNP
2012,Bulls,rest (DNP),Kyle Korver,DNP
2012,Cavaliers,rest (DNP),Kyrie Irving,DNP
2012,Cavaliers,right knee tendinitis (DNP),Omri Casspi,DNP
2012,Hawks,back injury (DNP),Jannero Pargo,DNP
2012,Hawks,returned to lineup,Erick Dampier,returned to lineup
2012,Heat,placed on IL with leg muscle fatigue,Chris Bosh,Other
2012,Heat,rest (DNP),LeBron James,DNP
2012,Hornets,bruised left tibia (DNP),Chris Kaman,DNP
2012,Hornets,concussion (DNP),Gustavo Ayon,DNP
2012,Hornets,DNP (P),Trevor Ariza,Other
2012,Kings,sprained right ankle (DNP),Hassan Whiteside,DNP
2012,Knicks,rest (DNP),Baron Davis,DNP
2012,Knicks,rest (DNP),Carmelo Anthony,DNP
2012,Knicks,virus (DNP),Toney Douglas,DNP
2012,Knicks,rest (DNP),Tyson Chandler,DNP
2012,Lakers,rest (DNP),Andrew Bynum,DNP
2012,Lakers,rest (DNP),Kobe Bryant,DNP
2012,Lakers,rest (DNP),Pau Gasol,DNP
2012,Magic,DNP,Jonathan Redick,Other
2012,Magic,DNP,Jameer Nelson,Other
2012,Magic,DNP,Jason Richardson,Other
2012,Magic,DNP,Ryan Anderson,Other
2012,Nets,sore right calf (DNP),Deron Williams,DNP
2012,Nets,DNP,Gerald Wallace,Other
2012,Nets,sore right groin (DNP),Jordan Farmar,DNP
2012,Nets,bruised right big toe (DNP),Kris Humphries,DNP
2012,Nets,left knee injury (DNP),Shelden Williams,DNP
2012,Raptors,right eye injury (DNP),Jose Calderon,DNP
2012,Raptors,DNP,Linas Kleiza,Other
2012,Rockets,bruised right shoulder (DNP),Chandler Parsons,DNP
2012,Rockets,hernia (DNP),Kyle Lowry,DNP
2012,Spurs,rest (DNP),Emanuel Ginobili,DNP
2012,Spurs,left shoulder injury (DNP),Gary Neal,DNP
2012,Spurs,rest (DNP),Kawhi Leonard,DNP
2012,Spurs,rest (DNP),Stephen Jackson,DNP
2012,Warriors,concussion (DNP),Andris Biedrins,DNP
2012,Warriors,rest (DNP),Richard Jefferson,DNP
2012,Wizards,sprained right ankle (DNP),Jordan Crawford,DNP
2012,Warriors,surgery to repair torn abdominal muscle (out for season),David Lee,out for season
2012,Warriors,recovering from surgery to repair torn abdominal muscle (DNP),David Lee,DNP
2012,Bulls,torn ACL in left knee (out for season),Derrick Rose,out for season
2012,Heat,activated from IL,Chris Bosh,Other
2012,Knicks,torn lateral meniscus / ACL (CBC) in left knee (out for season),Iman Shumpert,out for season
2012,Clippers,fractured metacarpal bone in left hand (out for season),Caron Butler,out for season
2012,Knicks,left hand injury (DTD),Amare Stoudemire,DTD
2012,Nuggets,surgery on left hip to repair torn labrum (out for season),Wilson Chandler,out for season
2012,Rockets,surgery to repair sports hernia (out indefinitely),Kyle Lowry,out indefinitely
2012,Spurs,wrist injury (DNP),Tiago Splitter,DNP
2012,Suns,surgery on right shoulder (out indefinitely),Channing Frye,out indefinitely
2012,Bucks,surgery to repair sports hernia (out indefinitely),Carlos Delfino,out indefinitely
2012,Hawks,left knee tendinitis (DNP),Josh Smith,DNP
2012,Bulls,sprained left ankle (DNP),Joakim Noah,DNP
2012,Knicks,"torn ACL, MCL, and patella tendon in right knee (out for season)",Baron Davis,out for season
2012,Bucks,surgery on right knee to repair tendinitis,Luc Moute,Other
2012,Bulls,sprained left ankle (DNP),Joakim Noah,DNP
2012,Blazers,arthroscopic surgery on right hip to repair torn labrum (out indefinitely),LaMarcus Aldridge,out indefinitely
2012,Bulls,sprained left ankle (DNP),Joakim Noah,DNP
2012,Bulls,surgery on left knee to repair torn ACL,Derrick Rose,Other
2012,Timberwolves,surgery on right ankle to remove bone spurs (out indefinitely),Nikola Pekovic,out indefinitely
2012,Nuggets,surgery on right knee to repair torn meniscus (out indefinitely),Al Harrington,out indefinitely
2012,Celtics,surgery on left shoulder (out for season),Avery Bradley,out for season
2012,Heat,migraine headache (DNP),James Jones,DNP
2012,Celtics,arthroscopic surgery on right knee (out indefinitely),Mickael Pietrus,out indefinitely
2012,Celtics,arthroscopic surgery on right ankle to remove bone spurs (out indefinitely),Ray Allen,out indefinitely
2012,Heat,surgery on left knee (out indefinitely),Dwyane Wade,out indefinitely
2012,Thunder,surgery on left groin (out indefinitely),Hollis Thompson,out indefinitely
2012,Clippers,torn meniscus in left knee (out indefinitely),Blake Griffin,out indefinitely
2012,Thunder,surgery on right groin (out indefinitely),Kendrick Perkins,out indefinitely
2012,Cavaliers,broken right hand (out indefinitely),Kyrie Irving,out indefinitely
2012,Clippers,surgery on left knee to repair torn meniscus (out indefinitely),Blake Griffin,out indefinitely
2012,Cavaliers,surgery to repair broken right hand (out indefinitely),Kyrie Irving,out indefinitely
2012,Thunder,surgery on left wrist to repair torn ligament (out indefinitely),Kendrick Perkins,out indefinitely
2012,Hornets,surgery on right ankle to remove bone spurs (out indefinitely),Austin Rivers,out indefinitely
2012,Hornets,surgery on left knee to repair medial meniscus,Robin Lopez,Other
2012,Clippers,surgery on right thumb to repair torn ligament (out indefinitely),Chris Paul,out indefinitely
2012,Knicks,surgery on left knee to repair torn meniscus (out indefinitely),Ronnie Brewer,out indefinitely
2012,Blazers,torn left Achilles tendon (out indefinitely),Elliot Williams,out indefinitely
2012,Blazers,surgery to repair torn left Achilles tendon (out for season),Elliot Williams,out for season
2012,Suns,enlarged heart (out indefinitely),Channing Frye,out indefinitely
2012,Lakers,foot injury (out indefinitely),Steve Blake,out indefinitely
2012,Grizzlies,fractured fibula in left leg (out indefinitely),Darrell Arthur,out indefinitely
2012,Wizards,stress fracture in left kneecap (out indefinitely),John Wall,out indefinitely
2012,76ers,rehab on knee (out indefinitely),Andrew Bynum,out indefinitely
2012,Knicks,surgery on knee (out indefinitely),Chris Smith,out indefinitely
2012,Timberwolves,fractured right hand (out indefinitely),Kevin Love,out indefinitely
2012,Mavericks,arthroscopic surgery on right knee (out indefinitely),Dirk Nowitzki,out indefinitely
2012,Knicks,ruptured cyst in left knee (out indefinitely),Amare Stoudemire,out indefinitely
2012,Bulls,recovering from surgery on left knee to repair torn ACL (out indefinitely),Derrick Rose,out indefinitely
2012,Celtics,back spasms (DTD),Darko Milicic,DTD
2012,Clippers,bone bruise in right knee (DTD),Grant Hill,DTD
2012,Knicks,arthroscopic surgery on left knee (out indefinitely) (date approximate),Amare Stoudemire,out indefinitely
2012,Knicks,recovering from surgery on left knee to repair torn lateral meniscus / ACL (CBC) (out indefinitely),Iman Shumpert,out indefinitely
2012,Mavericks,sprained thumb (DTD),Jared Cunningham,DTD
2012,Nuggets,surgery on hip (out indefinitely),Julyan Stone,out indefinitely
2012,Pacers,sore left knee (out indefinitely),Danny Granger,out indefinitely
2012,Spurs,back spasms (DTD),Emanuel Ginobili,DTD
2012,Celtics,surgery on left shoulder (out indefinitely),Avery Bradley,out indefinitely
2012,76ers,strained left calf (DNP),Kwame Brown,DNP
2012,Kings,right leg injury (DTD),Tyler Honeycutt,DTD
2012,Mavericks,returned to lineup,Jared Cunningham,returned to lineup
2012,Nuggets,sprained left ankle (DNP),Danilo Gallinari,DNP
2012,Warriors,groin injury (DNP),Andris Biedrins,DNP
2012,Knicks,strained left calf (DTD),Marcus Camby,DTD
2012,Magic,sprained left thumb (DNP),Gustavo Ayon,DNP
2012,Magic,surgery to repair hernia (DTD),Maurice Harkless,DTD
2012,Hornets,concussion (DNP),Anthony Davis,DNP
2012,Nuggets,recovering from surgery on left hip to repair torn labrum (out indefinitely),Wilson Chandler,out indefinitely
2012,Warriors,torn ACL in left knee (out for season),Brandon Rush,out for season
2012,Hawks,sprained right ankle (DNP),Josh Smith,DNP
2012,Magic,strained right hamstring (DNP),Jameer Nelson,DNP
2012,76ers,sprained left ankle (DNP),Jason Richardson,DNP
2012,Bobcats,sprained left foot (out indefinitely),Gerald Henderson,out indefinitely
2012,Magic,strained right hamstring (DNP),Jameer Nelson,DNP
2012,Mavericks,sprained MCL in left knee (DTD),Shawn Marion,DTD
2012,76ers,sprained left ankle (DNP),Jason Richardson,DNP
2012,76ers,strained left calf (DNP),Kwame Brown,DNP
2012,Hornets,concussion (DNP),Anthony Davis,DNP
2012,Hornets,sprained left index finger (DNP),Austin Rivers,DNP
2012,Lakers,strained left groin (out indefinitely),Earl Clark,out indefinitely
2012,Magic,strained groin (DNP),Jameer Nelson,DNP
2012,Magic,returned to lineup,Maurice Harkless,returned to lineup
2012,Mavericks,sprained left ankle (DNP),Rodrigue Beaubois,DNP
2012,Suns,ankle injury (DNP),Kendall Marshall,DNP
2012,Kings,returned to lineup,Tyler Honeycutt,returned to lineup
2012,76ers,sprained left ankle (DNP),Jason Richardson,DNP
2012,76ers,strained left calf (DNP),Kwame Brown,DNP
2012,Knicks,returned to lineup,Marcus Camby,returned to lineup
2012,Magic,groin injury (DTD),DeQuan Jones,DTD
2012,Magic,strained right hamstring/groin (DNP),Jameer Nelson,DNP
2012,Timberwolves,sprained left foot (DNP),Jose Barea,DNP
2012,76ers,sprained left ankle (DNP),Jason Richardson,DNP
2012,76ers,strained left calf (DNP),Kwame Brown,DNP
2012,Jazz,strained right abductor (DNP),Maurice Williams,DNP
2012,Spurs,bruised left knee (DNP),DeJuan Blair,DNP
2012,Timberwolves,sore right knee (DNP),Brandon Roy,DNP
2012,Timberwolves,sprained left foot (DNP),Jose Barea,DNP
2012,Warriors,flu (DNP),Jeremy Tyler,DNP
2012,Lakers,returned to lineup,Earl Clark,returned to lineup
2012,Timberwolves,torn meniscus in left knee (out indefinitely),Chase Budinger,out indefinitely
2012,76ers,strained left calf (DNP),Kwame Brown,DNP
2012,Timberwolves,sore right knee (DNP),Brandon Roy,DNP
2012,Timberwolves,torn meniscus in left knee (surgery) (DNP),Chase Budinger,DNP
2012,Timberwolves,sprained left foot (DNP),Jose Barea,DNP
2012,Kings,flu (DNP),Francisco Garcia,DNP
2012,Lakers,strained left groin (DNP),Earl Clark,DNP
2012,Magic,sore left groin (DNP),DeQuan Jones,DNP
2012,Magic,strained right hamstring/groin (DNP),Jameer Nelson,DNP
2012,Timberwolves,surgery on left knee to repair torn meniscus (out indefinitely),Chase Budinger,out indefinitely
2012,Hawks,stomach virus (DNP),Al Horford,DNP
2012,Hawks,strained left hamstring (DTD) (CBC),Devin Harris,DTD
2012,Timberwolves,sore right knee (DNP),Brandon Roy,DNP
2012,Timberwolves,recovering from surgery on left knee to repair torn meniscus (DNP),Chase Budinger,DNP
2012,Timberwolves,sprained left foot (DNP),Jose Barea,DNP
2012,Timberwolves,sprained left ankle (DNP),Nikola Pekovic,DNP
2012,Celtics,sprained right ankle (DNP),Rajon Rondo,DNP
2012,Nuggets,hip injury (DTD),Wilson Chandler,DTD
2012,Raptors,ulnar nerve transpostion surgery on right elbow (out indefinitely),Landry Fields,out indefinitely
2012,Spurs,hand injury (DTD),Gary Neal,DTD
2012,Cavaliers,surgury on right knee (out indefinitely),Luke Harangody,out indefinitely
2012,Rockets,groin injury (DTD),Carlos Delfino,DTD
2012,Spurs,quadriceps tendinitis in left knee (out indefinitely),Kawhi Leonard,out indefinitely
2012,Timberwolves,sore right knee (DNP),Brandon Roy,DNP
2012,Timberwolves,recovering from surgery on left knee to repair torn meniscus (DNP),Chase Budinger,DNP
2012,Timberwolves,sprained left foot (DNP),Jose Barea,DNP
2012,Timberwolves,sprained left ankle (DNP),Nikola Pekovic,DNP
2012,Celtics,DNP,Jason Collins,Other
2012,Mavericks,ankle injury (DNP),Rodrigue Beaubois,DNP
2012,Nuggets,ankle injury (DTD),Anthony Randolph,DTD
2012,Spurs,quadriceps tendinitis in left knee (DNP),Kawhi Leonard,DNP
2012,Cavaliers,sore right elbow (DTD),Daniel Gibson,DTD
2012,Magic,illness (DNP),Jonathan Redick,DNP
2012,Rockets,groin injury (DNP),Carlos Delfino,DNP
2012,Cavaliers,fractured left index finger (out indefinitely),Kyrie Irving,out indefinitely
2012,Rockets,groin injury (DNP),Carlos Delfino,DNP
2012,Spurs,quadriceps tendinitis in left knee (DNP),Kawhi Leonard,DNP
2012,Spurs,fractured right pinky finger (out indefinitely),Stephen Jackson,out indefinitely
2012,Spurs,returned to lineup,Gary Neal,returned to lineup
2012,Timberwolves,arthroscopic surgery on right knee (out indefinitely),Brandon Roy,out indefinitely
2012,Warriors,strained right calf (DNP),Richard Jefferson,DNP
2012,Hornets,stress reaction in left ankle (DNP),Anthony Davis,DNP
2012,Cavaliers,sore right elbow (DNP),Daniel Gibson,DNP
2012,Clippers,strained right shoulder (DNP),Caron Butler,DNP
2012,Heat,illness (DNP),Rashard Lewis,DNP
2012,Hornets,stress reaction in left ankle (DNP),Anthony Davis,DNP
2012,Rockets,groin injury (DNP),Carlos Delfino,DNP
2012,Rockets,sprained right ankle (DTD),Cole Aldrich,DTD
2012,Rockets,sprained right ankle (DNP),Daequan Cook,DNP
2012,Warriors,strained right calf (DNP),Richard Jefferson,DNP
2012,Hornets,stress reaction in left ankle (DNP),Anthony Davis,DNP
2012,Knicks,sore left foot (DNP),Rasheed Wallace,DNP
2012,Rockets,groin injury (DNP),Carlos Delfino,DNP
2012,Rockets,sprained right ankle (DNP),Cole Aldrich,DNP
2012,Warriors,strained right calf (DNP),Richard Jefferson,DNP
2012,Bobcats,left leg injury (DTD),Bismack Biyombo,DTD
2012,Hawks,knee injury (DNP),DeShawn Stevenson,DNP
2012,Jazz,sprained right foot (DNP),Maurice Williams,DNP
2012,Lakers,returned to lineup,Earl Clark,returned to lineup
2012,Warriors,strained right calf (DNP),Richard Jefferson,DNP
2012,Blazers,sore back (DNP),LaMarcus Aldridge,DNP
2012,Hornets,stress reaction in left ankle (DNP),Anthony Davis,DNP
2012,Nuggets,returned to lineup,Anthony Randolph,returned to lineup
2012,Grizzlies,flu (DNP),Mike Conley,DNP
2012,Hornets,stress reaction in left ankle (DNP),Anthony Davis,DNP
2012,Jazz,sprained right foot (DNP),Maurice Williams,DNP
2012,Knicks,lower back spasms (DNP),Jason Kidd,DNP
2012,Wizards,sore left foot (DNP),Nene,DNP
2012,Wizards,sore right shoulder (DNP),Shaun Livingston,DNP
2012,Cavaliers,sore right elbow (DNP),Daniel Gibson,DNP
2012,Bobcats,returned to lineup,Bismack Biyombo,returned to lineup
2012,Hornets,stress reaction in left ankle (DNP),Anthony Davis,DNP
2012,Jazz,sprained right foot (DNP),Maurice Williams,DNP
2012,Knicks,back spasms (DNP),Jason Kidd,DNP
2012,Raptors,sore left ankle (DNP),Andrea Bargnani,DNP
2012,Rockets,sore right shoulder (DNP),Chandler Parsons,DNP
2012,Timberwolves,back spasms (DNP),Andrei Kirilenko,DNP
2012,Nuggets,right hip injury (DNP),Julyan Stone,DNP
2012,Spurs,rest (DNP),William Parker,DNP
2012,Spurs,rest (DNP),Danny Green,DNP
2012,Spurs,rest (DNP),Emanuel Ginobili,DNP
2012,Spurs,rest (DNP),Tim Duncan,DNP
2012,Warriors,strained right calf (DNP),Richard Jefferson,DNP
2012,Grizzlies,strained right groin (DNP),Tony Allen,DNP
2012,Jazz,concussion (DNP),Marvin Williams,DNP
2012,Kings,bruised left knee (DNP),Tyreke Evans,DNP
2012,Knicks,back spasms (DNP),Jason Kidd,DNP
2012,Magic,left Achilles tendinitis (DNP),Jameer Nelson,DNP
2012,Pistons,illness (DNP),Austin Daye,DNP
2012,Timberwolves,back spasms (DNP),Andrei Kirilenko,DNP
2012,76ers,hyperextended left big toe (DNP),Nick Young,DNP
2012,Bucks,sprained right ankle (DTD),Beno Udrih,DTD
2012,Hornets,stress reaction in left ankle (DNP),Anthony Davis,DNP
2012,Jazz,strained arch in right foot (DNP),Derrick Favors,DNP
2012,Jazz,concussion (DNP),Marvin Williams,DNP
2012,Kings,bruised left knee (DNP),Tyreke Evans,DNP
2012,Warriors,strained right calf (DNP),Richard Jefferson,DNP
2012,Bulls,torn plantar fascia in left foot (out indefinitely),Richard Hamilton,out indefinitely
2012,Knicks,sore left foot (DTD),Marcus Camby,DTD
2012,Suns,strained right quadricep (DNP),Jermaine O'Neal,DNP
2012,Cavaliers,sprained left ankle (DTD),Dion Waiters,DTD
2012,Clippers,knee injury (DNP),Willie Green,DNP
2012,Hornets,stress reaction in left ankle (DNP),Anthony Davis,DNP
2012,Jazz,plantar fasciitis in right foot (DNP),Derrick Favors,DNP
2012,Jazz,concussion (DNP),Marvin Williams,DNP
2012,Lakers,surgery to repair torn abdominal muscle (out indefinitely) (date approximate),Steve Blake,out indefinitely
2012,Raptors,sore left hip (DNP),Linas Kleiza,DNP
2012,Warriors,strained right calf (DNP),Richard Jefferson,DNP
2012,76ers,hyperextended left big toe (DNP),Nick Young,DNP
2012,Lakers,tendinitis in both knees (DNP),Pau Gasol,DNP
2012,Timberwolves,back spasms (DNP),Andrei Kirilenko,DNP
2012,Hornets,stress reaction in left ankle (DNP),Anthony Davis,DNP
2012,Jazz,plantar fasciitis in right foot (DNP),Derrick Favors,DNP
2012,Knicks,sore left foot (DNP),Marcus Camby,DNP
2012,Lakers,tendinitis in both knees (DNP),Pau Gasol,DNP
2012,Spurs,hamstring injury (DNP),Danny Green,DNP
2012,Spurs,ankle injury (DNP),Patrick Mills,DNP
2012,Timberwolves,back spasms (DNP),Andrei Kirilenko,DNP
2012,Knicks,laceration on left middle finger (DNP),Carmelo Anthony,DNP
2012,Knicks,sore left foot (DNP),Marcus Camby,DNP
2012,76ers,stomach virus (DNP),Kwame Brown,DNP
2012,76ers,hyperextended left big toe (DNP),Nick Young,DNP
2012,76ers,strained right groin (DNP),Royal Ivey,DNP
2012,Celtics,flu (DNP),Leandro Barbosa,DNP
2012,Hornets,stress reaction in left ankle (DNP),Anthony Davis,DNP
2012,Jazz,back spasms (DNP),Al Jefferson,DNP
2012,Jazz,plantar fasciitis in right foot (DNP),Derrick Favors,DNP
2012,Kings,sore left knee (DNP),Tyreke Evans,DNP
2012,Lakers,tendinitis in both knees (DNP),Pau Gasol,DNP
2012,Wizards,strained left calf (DNP),Trevor Ariza,DNP
2012,76ers,hyperextended left big toe (DNP),Nick Young,DNP
2012,76ers,strained right groin (DNP),Royal Ivey,DNP
2012,Hawks,DNP,DeShawn Stevenson,Other
2012,Hornets,stress reaction in left ankle (DNP),Anthony Davis,DNP
2012,Kings,left knee injury (DNP),Tyreke Evans,DNP
2012,Knicks,laceration on left middle finger (DNP),Carmelo Anthony,DNP
2012,Spurs,sprained left ankle (DNP),DeJuan Blair,DNP
2012,Suns,sprained right knee (DTD),Anthony Tucker,DTD
2012,Wizards,strained left calf (DNP),Trevor Ariza,DNP
2012,Jazz,plantar fasciitis in right foot (DNP),Derrick Favors,DNP
2012,Knicks,sore left foot (DNP),Marcus Camby,DNP
2012,Knicks,sore left foot (DNP),Rasheed Wallace,DNP
2012,Lakers,tendinitis in both knees (DNP),Pau Gasol,DNP
2012,Raptors,left knee tendinitis (DNP),Mickael Pietrus,DNP
2012,Suns,flu (DNP),Goran Dragic,DNP
2012,76ers,strained right calf (DNP),Damien Wilkins,DNP
2012,76ers,strained right groin (DNP),Royal Ivey,DNP
2012,Blazers,bruised left hip (DNP),Wesley Matthews,DNP
2012,Kings,sore left knee (DNP),Tyreke Evans,DNP
2012,Mavericks,illness (DNP),Dominique Jones,DNP
2012,Raptors,right knee injury (DNP),Linas Kleiza,DNP
2012,Rockets,sprained right ankle (DNP),James Harden,DNP
2012,Knicks,sore left foot (DNP),Marcus Camby,DNP
2012,Lakers,tendinitis in both knees (DNP),Pau Gasol,DNP
2012,Wizards,fractured right hand (DNP),Anthony Price,DNP
2012,Wizards,strained left calf (DNP),Trevor Ariza,DNP
2012,76ers,strained right calf (DNP),Damien Wilkins,DNP
2012,76ers,strep throat (DNP),Royal Ivey,DNP
2012,Bucks,illness (DNP),Larry Sanders,DNP
2012,Bulls,left knee injury (DTD),Kirk Hinrich,DTD
2012,Cavaliers,gastroenteritis (DNP),Omri Casspi,DNP
2012,Mavericks,illness (DNP),Jae Crowder,DNP
2012,Raptors,torn right triceps (DNP),Kyle Lowry,DNP
2012,Raptors,sore right knee (DNP),Linas Kleiza,DNP
2012,Suns,returned to lineup,Anthony Tucker,returned to lineup
2012,Timberwolves,illness (DNP),Josh Howard,DNP
2012,Wizards,fractured right hand (DNP),Anthony Price,DNP
2012,Wizards,strained left calf (DNP),Trevor Ariza,DNP
2012,Knicks,sore left foot (DNP),Marcus Camby,DNP
